id	type_name	layers	bbox	objects	actual_spacing	required_spacing	required_width	brief_info	verbose_info	status
0	Diff net spacing	M1	{1019.4470 31.7760} {1019.5210 31.9360}	n129732,VSS						error
1	Diff net spacing	M2	{1019.4940 31.7450} {1019.6380 31.8150}	n129732,VSS						error
2	Short	M1	{301.5050 51.8700} {301.6550 51.9950}	ZBUF_1014_125						error
3	Diff net spacing	M1	{779.4390 51.5360} {779.5130 51.6960}	ZBUF_805_3006,VSS						error
4	Diff net spacing	M2	{779.4940 51.6570} {779.6300 51.7270}	ZBUF_805_3006,VSS						error
5	Short	M1	{541.5130 81.9660} {541.6630 82.0910}	ZBUF_619_2995						error
6	Short	M1	{301.5050 91.9730} {301.6550 92.1230}	ZBUF_878_1618						error
7	Short	M1	{300.2130 105.5090} {300.3630 105.6590}	ZBUF_928_3298,VSS						error
8	Short	M1	{300.3650 111.8800} {300.5150 112.0400}	ZBUF_928_3298,VSS						error
9	Short	M1	{541.5130 115.4060} {541.6630 115.5310}	ZBUF_528_3124						error
10	Diff net spacing	M1	{259.4470 118.7200} {259.5210 118.8800}	ZBUF_977_2400,VSS						error
11	Diff net spacing	M2	{259.4940 118.6890} {259.6380 118.7590}	ZBUF_977_2400,VSS						error
12	Short	M1	{301.5050 125.1090} {301.6550 125.2340}	ZBUF_929_1986						error
13	Short	M1	{781.5210 138.8140} {781.6710 138.9390}	ZBUF_800_3521						error
14	Short	M1	{780.2290 148.9810} {780.3790 149.1310}	ZBUF_252_3520,VSS						error
15	Diff net spacing	M1	{1019.4470 148.5120} {1019.5210 148.6720}	ZBUF_786_1064,VSS						error
16	Diff net spacing	M2	{1019.4940 148.6330} {1019.6380 148.7030}	ZBUF_786_1064,VSS						error
17	Diff net spacing	M1	{779.4390 178.6080} {779.5130 178.7680}	ZBUF_698_3203,VSS						error
18	Diff net spacing	M2	{779.4940 178.7290} {779.6300 178.7990}	ZBUF_698_3203,VSS						error
19	Short	M1	{1061.5050 192.3180} {1061.6550 192.4430}	ZBUF_1087_158						error
20	Diff net spacing	M1	{499.4550 205.3600} {499.5290 205.5200}	n130143,VSS						error
21	Diff net spacing	M2	{499.4940 205.4810} {499.6460 205.5510}	n130143,VSS						error
22	Diff net spacing	M1	{779.4390 229.0720} {779.5130 229.2320}	ZBUF_834_3006,VSS						error
23	Diff net spacing	M2	{779.4940 229.0410} {779.6300 229.1110}	ZBUF_834_3006,VSS						error
24	Diff net spacing	M1	{499.4550 245.4880} {499.5290 245.6480}	ZBUF_612_2812,VSS						error
25	Diff net spacing	M2	{499.4940 245.6090} {499.6460 245.6790}	ZBUF_612_2812,VSS						error
26	Short	M1	{301.5050 255.5250} {301.6550 255.6500}	ZBUF_742_1043						error
27	Diff net spacing	M1	{779.4390 252.4800} {779.5130 252.6400}	ZBUF_791_2401,VSS						error
28	Diff net spacing	M2	{779.4940 252.4490} {779.6300 252.5190}	ZBUF_791_2401,VSS						error
29	Short	M1	{301.5050 265.5570} {301.6550 265.6820}	ZBUF_699_127						error
30	Diff net spacing	M1	{779.4390 265.5520} {779.5130 265.7120}	n130480,VSS						error
31	Diff net spacing	M2	{779.4940 265.6730} {779.6300 265.7430}	n130480,VSS						error
32	Short	M1	{1061.5050 272.5740} {1061.6550 272.6990}	ZBUF_622_3251						error
33	Diff net spacing	M1	{499.4550 279.2320} {499.5290 279.3920}	ZBUF_587_3192,VSS						error
34	Diff net spacing	M2	{499.4940 279.2010} {499.6460 279.2710}	ZBUF_587_3192,VSS						error
35	Diff net spacing	M1	{259.4470 339.4240} {259.5210 339.5840}	ZBUF_890_2384,VSS						error
36	Diff net spacing	M2	{259.4940 339.3930} {259.6380 339.4630}	ZBUF_890_2384,VSS						error
37	Diff net spacing	M1	{259.4470 342.4640} {259.5210 342.6240}	ZBUF_611_3246,VSS						error
38	Diff net spacing	M2	{259.4940 342.5850} {259.6380 342.6550}	ZBUF_611_3246,VSS						error
39	Short	M1	{781.5210 372.8940} {781.6710 373.0190}	ZBUF_827_2401						error
40	Diff net spacing	M1	{1019.4470 375.9040} {1019.5210 376.0640}	ZBUF_865_1713,VSS						error
41	Diff net spacing	M2	{1019.4940 376.0250} {1019.6380 376.0950}	ZBUF_865_1713,VSS						error
42	Diff net spacing	M1	{1019.4470 392.9280} {1019.5210 393.0880}	ZBUF_865_1713,VSS						error
43	Diff net spacing	M2	{1019.4940 392.8970} {1019.6380 392.9670}	ZBUF_865_1713,VSS						error
44	Short	M1	{781.5210 412.6930} {781.6710 412.8180}	ZBUF_755_1643						error
45	Short	M1	{781.5210 439.4450} {781.6710 439.5700}	ZBUF_667_3521						error
46	Short	M1	{781.5210 469.5410} {781.6710 469.6660}	ZBUF_772_286						error
47	Diff net spacing	M1	{779.4390 469.8400} {779.5130 470.0000}	ZBUF_797_3017,VSS						error
48	Diff net spacing	M2	{779.4940 469.8090} {779.6300 469.8790}	ZBUF_797_3017,VSS						error
49	Off-grid	VIA1	{884.5240 470.2750} {884.5740 470.4770}	n93096						error
50	Short	M1	{1061.5050 466.1970} {1061.6550 466.3220}	ZBUF_836_2150						error
51	Short	M1	{541.5130 506.6540} {541.6630 506.7790}	ZBUF_498_1949						error
52	Off-grid	M1	{549.0570 507.4340} {549.1670 507.4940}	n86807						error
53	Off-grid	M1	{549.6650 507.2820} {549.7750 507.3420}	n131259						error
54	Needs fat contact	M1,M2	{93.0820 515.7690} {93.1420 515.8790}	n76744						error
55	Diff net spacing	M1	{560.5840 519.3420} {560.7440 519.4250}	n131576						error
56	Diff net spacing	M1	{81.7840 527.1190} {81.9440 527.2020}	n76559						error
57	Diff net spacing	M1	{80.5680 527.1190} {80.7280 527.2020}	n76581						error
58	Short	M1	{541.5130 523.0450} {541.6630 523.1700}	ZBUF_498_1949						error
59	Diff net spacing	M1	{43.0240 532.7180} {43.1840 532.8010}	n59463						error
60	Needs fat contact	M1,M2	{137.6180 532.4890} {137.6780 532.5990}	n48638						error
61	Off-grid	M2	{196.6940 539.2780} {196.8040 539.4900}	n82931						error
62	Off-grid	VIA1	{196.7240 539.2830} {196.7740 539.4850}	n82931						error
63	Diff net spacing	M1	{216.0000 532.7180} {216.1600 532.8010}	n83288						error
64	Off-grid	M1	{498.7450 534.0340} {498.8550 534.0940}	n68514						error
65	Needs fat contact	M1,M2	{93.9940 552.5530} {94.0540 552.6630}	n76162						error
66	Needs fat contact	M1,M2	{132.6020 549.2090} {132.6620 549.3190}	n48887						error
67	Needs fat contact	M1,M2	{133.0580 550.7290} {133.1180 550.8390}	n48975						error
68	Diff net spacing	M1	{139.3670 553.1360} {139.4350 553.2960}	n48655,VSS						error
69	Diff net spacing	M1	{223.7520 550.5270} {223.9120 550.6100}	n82932						error
70	Needs fat contact	M1,M2	{87.6100 559.2410} {87.6700 559.3510}	n138000						error
71	Needs fat contact	M1,M2	{114.9700 567.4490} {115.0300 567.5590}	n49119						error
72	Off-grid	M1	{406.1770 564.1300} {406.2870 564.1900}	n84305						error
73	Short	M1	{780.2290 556.3250} {780.3790 556.4750}	n130068,VSS						error
74	Needs fat contact	M1,M2	{170.6020 575.9610} {170.6620 576.0710}	n82565						error
75	Diff net spacing	M1	{190.0080 569.5020} {190.1680 569.5850}	ZBUF_1554_152						error
76	Diff net spacing	M1	{199.2800 573.9350} {199.4400 574.0180}	n132783						error
77	Diff net spacing	M1	{209.7680 573.9350} {209.9280 574.0180}	n83340						error
78	Diff net spacing	M1	{212.3520 572.8460} {212.5120 572.9290}	n83340						error
79	Diff net spacing	M1	{215.2400 573.9350} {215.4000 574.0180}	ZBUF_363_1973						error
80	Diff net spacing	M1	{219.1920 576.1900} {219.3520 576.2730}	n83049						error
81	Diff net spacing	M1	{216.3040 576.1900} {216.4640 576.2730}	n83340						error
82	Diff net spacing	M1	{216.0000 577.2790} {216.1600 577.3620}	ZBUF_363_1973						error
83	Diff net spacing	M1	{217.2160 577.2790} {217.3760 577.3620}	ZBUF_363_1973						error
