id	type_name	error_class	layers	bbox	center	objects	shape	direction	z_level	brief_info	verbose_info	status
0	Off-grid	basic	M1	{556.0490 555.9220} {556.1590 555.9820}	556.1040,555.9520	n55753	{ polygons {{556.0490 555.9220} {556.0490 555.9820} {556.1590 555.9820} {556.1590 555.9220}} } 					error
1	Off-grid	basic	M1	{558.3290 552.5780} {558.4390 552.6380}	558.3840,552.6080	n55638	{ polygons {{558.3290 552.5780} {558.3290 552.6380} {558.4390 552.6380} {558.4390 552.5780}} } 					error
2	Off-grid	basic	M1	{559.0890 552.4260} {559.1990 552.4860}	559.1440,552.4560	n55639	{ polygons {{559.0890 552.4260} {559.0890 552.4860} {559.1990 552.4860} {559.1990 552.4260}} } 					error
3	Off-grid	basic	M1	{557.2650 550.6020} {557.3750 550.6620}	557.3200,550.6320	n55655	{ polygons {{557.2650 550.6020} {557.2650 550.6620} {557.3750 550.6620} {557.3750 550.6020}} } 					error
4	Off-grid	basic	M1	{400.4010 606.0820} {400.5110 606.1420}	400.4560,606.1120	n86699	{ polygons {{400.4010 606.0820} {400.4010 606.1420} {400.5110 606.1420} {400.5110 606.0820}} } 					error
5	Off-grid	basic	M1	{493.1210 614.2900} {493.2310 614.3500}	493.1760,614.3200	n68589	{ polygons {{493.1210 614.2900} {493.1210 614.3500} {493.2310 614.3500} {493.2310 614.2900}} } 					error
6	Off-grid	basic	M1	{471.0810 620.9780} {471.1910 621.0380}	471.1360,621.0080	n83731	{ polygons {{471.0810 620.9780} {471.0810 621.0380} {471.1910 621.0380} {471.1910 620.9780}} } 					error
7	Off-grid	basic	M1	{470.4730 621.1300} {470.5830 621.1900}	470.5280,621.1600	n83732	{ polygons {{470.4730 621.1300} {470.4730 621.1900} {470.5830 621.1900} {470.5830 621.1300}} } 					error
8	Diff net spacing	basic	M1	{510.2470 620.7760} {510.3050 620.9360}	510.2760,620.8560	n68594,n68595	{ polygons {{510.2470 620.7760} {510.2470 620.9360} {510.3050 620.9360} {510.3050 620.7760}} } 					error
9	Off-grid	basic	M1	{510.3870 620.8260} {510.4820 620.8920}	510.4345,620.8590	n68594	{ polygons {{510.3870 620.8260} {510.3870 620.8920} {510.4820 620.8920} {510.4820 620.8260}} } 					error
10	Off-grid	basic	M1	{511.3610 620.9780} {511.4710 621.0380}	511.4160,621.0080	n68595	{ polygons {{511.3610 620.9780} {511.3610 621.0380} {511.4710 621.0380} {511.4710 620.9780}} } 					error
11	Off-grid	basic	M1	{510.4490 621.1300} {510.5590 621.1900}	510.5040,621.1600	n68596	{ polygons {{510.4490 621.1300} {510.4490 621.1900} {510.5590 621.1900} {510.5590 621.1300}} } 					error
12	Off-grid	basic	M1	{510.4790 621.1400} {510.6550 621.1900}	510.5670,621.1650	n68596	{ polygons {{510.4790 621.1400} {510.4790 621.1900} {510.6550 621.1900} {510.6550 621.1400}} } 					error
13	Off-grid	basic	M1	{405.1130 651.0740} {405.2230 651.1340}	405.1680,651.1040	n86367	{ polygons {{405.1130 651.0740} {405.1130 651.1340} {405.2230 651.1340} {405.2230 651.0740}} } 					error
14	Off-grid	basic	M1	{498.8970 646.2100} {499.0070 646.2700}	498.9520,646.2400	n68494	{ polygons {{498.8970 646.2100} {498.8970 646.2700} {499.0070 646.2700} {499.0070 646.2100}} } 					error
15	Off-grid	basic	M1	{483.3930 659.5860} {483.5030 659.6460}	483.4480,659.6160	n84276	{ polygons {{483.3930 659.5860} {483.3930 659.6460} {483.5030 659.6460} {483.5030 659.5860}} } 					error
16	Off-grid	basic	M1	{518.0490 677.8260} {518.1590 677.8860}	518.1040,677.8560	n62540	{ polygons {{518.0490 677.8260} {518.0490 677.8860} {518.1590 677.8860} {518.1590 677.8260}} } 					error
17	Off-grid	basic	M1	{517.2890 677.9780} {517.3990 678.0380}	517.3440,678.0080	n62541	{ polygons {{517.2890 677.9780} {517.2890 678.0380} {517.3990 678.0380} {517.3990 677.9780}} } 					error
18	Off-grid	basic	M1	{517.3190 677.9880} {517.4950 678.0380}	517.4070,678.0130	n62541	{ polygons {{517.3190 677.9880} {517.3190 678.0380} {517.4950 678.0380} {517.4950 677.9880}} } 					error
19	Off-grid	basic	M1	{512.2730 709.7460} {512.3830 709.8060}	512.3280,709.7760	n62169	{ polygons {{512.2730 709.7460} {512.2730 709.8060} {512.3830 709.8060} {512.3830 709.7460}} } 					error
20	Off-grid	basic	M1	{580.5210 716.4340} {580.6310 716.4940}	580.5760,716.4640	n60507	{ polygons {{580.5210 716.4340} {580.5210 716.4940} {580.6310 716.4940} {580.6310 716.4340}} } 					error
21	Off-grid	basic	M1	{469.8650 729.8100} {469.9750 729.8700}	469.9200,729.8400	n77559	{ polygons {{469.8650 729.8100} {469.8650 729.8700} {469.9750 729.8700} {469.9750 729.8100}} } 					error
22	Off-grid	basic	M1	{616.6970 727.8340} {616.8070 727.8940}	616.7520,727.8640	n77741	{ polygons {{616.6970 727.8340} {616.6970 727.8940} {616.8070 727.8940} {616.8070 727.8340}} } 					error
23	Off-grid	basic	M1	{619.4330 727.9860} {619.5430 728.0460}	619.4880,728.0160	n131211	{ polygons {{619.4330 727.9860} {619.4330 728.0460} {619.5430 728.0460} {619.5430 727.9860}} } 					error
24	Off-grid	basic	M1	{669.5930 727.9860} {669.7030 728.0460}	669.6480,728.0160	n58523	{ polygons {{669.5930 727.9860} {669.5930 728.0460} {669.7030 728.0460} {669.7030 727.9860}} } 					error
25	Off-grid	basic	M1	{530.9990 750.1220} {531.1880 750.2380}	531.0935,750.1800	n57976	{ polygons {{530.9990 750.1220} {530.9990 750.2380} {531.1880 750.2380} {531.1880 750.1220}} } 					error
26	Off-grid	basic	M1	{559.0140 747.8980} {559.1770 747.9640}	559.0955,747.9310	n58206	{ polygons {{559.0140 747.8980} {559.0140 747.9640} {559.1770 747.9640} {559.1770 747.8980}} } 					error
27	Off-grid	basic	M1	{559.3930 748.0500} {559.5030 748.1100}	559.4480,748.0800	n58207	{ polygons {{559.3930 748.0500} {559.3930 748.1100} {559.5030 748.1100} {559.5030 748.0500}} } 					error
28	Off-grid	basic	M1	{529.4490 757.9300} {529.5590 757.9900}	529.5040,757.9600	n57976	{ polygons {{529.4490 757.9300} {529.4490 757.9900} {529.5590 757.9900} {529.5590 757.9300}} } 					error
29	Off-grid	basic	M1	{528.9930 758.0820} {529.1030 758.1420}	529.0480,758.1120	n57977	{ polygons {{528.9930 758.0820} {528.9930 758.1420} {529.1030 758.1420} {529.1030 758.0820}} } 					error
30	Off-grid	basic	M1	{569.8810 756.7140} {569.9910 756.7740}	569.9360,756.7440	n77599	{ polygons {{569.8810 756.7140} {569.8810 756.7740} {569.9910 756.7740} {569.9910 756.7140}} } 					error
31	Off-grid	basic	M1	{569.5770 756.5620} {569.6870 756.6220}	569.6320,756.5920	n77600	{ polygons {{569.5770 756.5620} {569.5770 756.6220} {569.6870 756.6220} {569.6870 756.5620}} } 					error
32	Off-grid	basic	M1	{569.4550 756.4100} {569.6310 756.4600}	569.5430,756.4350	ZBUF_2_79	{ polygons {{569.4550 756.4100} {569.4550 756.4600} {569.6310 756.4600} {569.6310 756.4100}} } 					error
33	Off-grid	basic	M1	{739.5130 756.7140} {739.6230 756.7740}	739.5680,756.7440	n28189	{ polygons {{739.5130 756.7140} {739.5130 756.7740} {739.6230 756.7740} {739.6230 756.7140}} } 					error
34	Off-grid	basic	M1	{769.7610 754.7380} {769.8710 754.7980}	769.8160,754.7680	n40785	{ polygons {{769.7610 754.7380} {769.7610 754.7980} {769.8710 754.7980} {769.8710 754.7380}} } 					error
35	Off-grid	basic	M1	{769.6090 754.8900} {769.7190 754.9500}	769.6640,754.9200	n40786	{ polygons {{769.6090 754.8900} {769.6090 754.9500} {769.7190 754.9500} {769.7190 754.8900}} } 					error
36	Off-grid	basic	M1	{769.6390 754.9000} {769.8150 754.9500}	769.7270,754.9250	n40786	{ polygons {{769.6390 754.9000} {769.6390 754.9500} {769.8150 754.9500} {769.8150 754.9000}} } 					error
37	Off-grid	basic	M1	{503.1530 771.4580} {503.2630 771.5180}	503.2080,771.4880	n79718	{ polygons {{503.1530 771.4580} {503.1530 771.5180} {503.2630 771.5180} {503.2630 771.4580}} } 					error
38	Off-grid	basic	M1	{542.5210 778.1460} {542.6310 778.2060}	542.5760,778.1760	n57869	{ polygons {{542.5210 778.1460} {542.5210 778.2060} {542.6310 778.2060} {542.6310 778.1460}} } 					error
39	Off-grid	basic	M1	{680.8410 794.8660} {680.9510 794.9260}	680.8960,794.8960	n49939	{ polygons {{680.8410 794.8660} {680.8410 794.9260} {680.9510 794.9260} {680.9510 794.8660}} } 					error
40	Off-grid	basic	M1	{407.0890 823.4420} {407.1990 823.5020}	407.1440,823.4720	n88363	{ polygons {{407.0890 823.4420} {407.0890 823.5020} {407.1990 823.5020} {407.1990 823.4420}} } 					error
41	Off-grid	basic	M1	{408.0010 823.2900} {408.1110 823.3500}	408.0560,823.3200	n88364	{ polygons {{408.0010 823.2900} {408.0010 823.3500} {408.1110 823.3500} {408.1110 823.2900}} } 					error
42	Off-grid	basic	M1	{407.0890 828.3060} {407.1990 828.3660}	407.1440,828.3360	n88345	{ polygons {{407.0890 828.3060} {407.0890 828.3660} {407.1990 828.3660} {407.1990 828.3060}} } 					error
43	Off-grid	basic	M1	{408.3050 831.8020} {408.4150 831.8620}	408.3600,831.8320	n88367	{ polygons {{408.3050 831.8020} {408.3050 831.8620} {408.4150 831.8620} {408.4150 831.8020}} } 					error
44	Diff net spacing	basic	M5	{199.7070 847.4530} {200.2930 847.6360}	200.0000,847.5445	ZBUF_157_140,VDD	{ polygons {{199.7070 847.4530} {199.7070 847.6360} {200.2930 847.6360} {200.2930 847.4530}} } 					error
45	Off-grid	basic	M1	{594.3530 866.9140} {594.4630 866.9740}	594.4080,866.9440	n23892	{ polygons {{594.3530 866.9140} {594.3530 866.9740} {594.4630 866.9740} {594.4630 866.9140}} } 					error
46	Off-grid	basic	M1	{718.2330 866.9140} {718.3430 866.9740}	718.2880,866.9440	n47316	{ polygons {{718.2330 866.9140} {718.2330 866.9740} {718.3430 866.9740} {718.3430 866.9140}} } 					error
47	Off-grid	basic	M1	{868.8650 870.2580} {868.9750 870.3180}	868.9200,870.2880	n38572	{ polygons {{868.8650 870.2580} {868.8650 870.3180} {868.9750 870.3180} {868.9750 870.2580}} } 					error
48	Off-grid	basic	M1	{869.1690 868.4340} {869.2790 868.4940}	869.2240,868.4640	n38585	{ polygons {{869.1690 868.4340} {869.1690 868.4940} {869.2790 868.4940} {869.2790 868.4340}} } 					error
49	Off-grid	basic	M1	{578.6970 883.6340} {578.8070 883.6940}	578.7520,883.6640	n23631	{ polygons {{578.6970 883.6340} {578.6970 883.6940} {578.8070 883.6940} {578.8070 883.6340}} } 					error
50	Off-grid	basic	M1	{578.6970 886.9780} {578.8070 887.0380}	578.7520,887.0080	n23664	{ polygons {{578.6970 886.9780} {578.6970 887.0380} {578.8070 887.0380} {578.8070 886.9780}} } 					error
51	Off-grid	basic	M1	{480.8090 897.0100} {480.9190 897.0700}	480.8640,897.0400	n71194	{ polygons {{480.8090 897.0100} {480.8090 897.0700} {480.9190 897.0700} {480.9190 897.0100}} } 					error
52	Off-grid	basic	M1	{736.6250 903.8500} {736.7350 903.9100}	736.6800,903.8800	n47592	{ polygons {{736.6250 903.8500} {736.6250 903.9100} {736.7350 903.9100} {736.7350 903.8500}} } 					error
53	Off-grid	basic	M1	{736.0170 903.6980} {736.1270 903.7580}	736.0720,903.7280	n47593	{ polygons {{736.0170 903.6980} {736.0170 903.7580} {736.1270 903.7580} {736.1270 903.6980}} } 					error
54	Off-grid	basic	M1	{733.1540 905.3450} {733.2140 905.4550}	733.1840,905.4000	n47593	{ polygons {{733.1540 905.3450} {733.1540 905.4550} {733.2140 905.4550} {733.2140 905.3450}} } 					error
55	Off-grid	basic	M1	{733.1640 905.3750} {733.2140 905.5770}	733.1890,905.4760	n47593	{ polygons {{733.1640 905.3750} {733.1640 905.5770} {733.2140 905.5770} {733.2140 905.3750}} } 					error
56	Off-grid	basic	M1	{778.8810 908.5620} {778.9910 908.6220}	778.9360,908.5920	n130856	{ polygons {{778.8810 908.5620} {778.8810 908.6220} {778.9910 908.6220} {778.9910 908.5620}} } 					error
57	Diff net spacing	basic	M2	{680.1940 917.1370} {680.2640 917.5270}	680.2290,917.3320	n45742,VDD	{ polygons {{680.1940 917.1370} {680.1940 917.5270} {680.2640 917.5270} {680.2640 917.1370}} } 					error
58	Same net spacing	basic	M2	{680.2020 917.2970} {680.3740 917.3670}	680.2880,917.3320	n45742	{ polygons {{680.2020 917.2970} {680.2020 917.3670} {680.3740 917.3670} {680.3740 917.2970}} } 					error
59	Less than minimum area	basic	M2	{680.2580 917.3530} {680.3180 917.4630}	680.2880,917.4080	n45742	{ polygons {{680.2580 917.3530} {680.2580 917.4630} {680.3180 917.4630} {680.3180 917.3530}} } 					error
60	Off-grid	basic	M1	{575.9610 930.4500} {576.0710 930.5100}	576.0160,930.4800	n131185	{ polygons {{575.9610 930.4500} {575.9610 930.5100} {576.0710 930.5100} {576.0710 930.4500}} } 					error
