net	shape	bbox	x1	y1	x2	y2	width	height	direction	same_net_vias	cells
VDD	PATH_11_698	{20.0000 1187.0260} {1189.3360 1187.0860}	20.0000	1187.0260	1189.3360	1187.0860	1169.336	0.0599999999999	horizontal	29	157
VDD	PATH_11_696	{20.0000 1183.6820} {1189.3360 1183.7420}	20.0000	1183.6820	1189.3360	1183.7420	1169.336	0.0599999999999	horizontal	29	205
VDD	PATH_11_694	{20.0000 1180.3380} {1189.3360 1180.3980}	20.0000	1180.3380	1189.3360	1180.3980	1169.336	0.0599999999999	horizontal	29	223
VDD	PATH_11_692	{20.0000 1176.9940} {1189.3360 1177.0540}	20.0000	1176.9940	1189.3360	1177.0540	1169.336	0.0600000000002	horizontal	29	259
VDD	PATH_11_690	{20.0000 1173.6500} {1189.3360 1173.7100}	20.0000	1173.6500	1189.3360	1173.7100	1169.336	0.0599999999999	horizontal	29	283
VDD	PATH_11_688	{20.0000 1170.3060} {1189.3360 1170.3660}	20.0000	1170.3060	1189.3360	1170.3660	1169.336	0.0599999999999	horizontal	29	304
VDD	PATH_11_686	{20.0000 1166.9620} {1189.3360 1167.0220}	20.0000	1166.9620	1189.3360	1167.0220	1169.336	0.0599999999999	horizontal	29	338
VDD	PATH_11_684	{20.0000 1163.6180} {1189.3360 1163.6780}	20.0000	1163.6180	1189.3360	1163.6780	1169.336	0.0600000000002	horizontal	29	348
VDD	PATH_11_682	{20.0000 1160.2740} {1189.3360 1160.3340}	20.0000	1160.2740	1189.3360	1160.3340	1169.336	0.0600000000002	horizontal	29	381
VDD	PATH_11_680	{20.0000 1156.9300} {1189.3360 1156.9900}	20.0000	1156.9300	1189.3360	1156.9900	1169.336	0.0599999999999	horizontal	29	379
VDD	PATH_11_678	{20.0000 1153.5860} {1189.3360 1153.6460}	20.0000	1153.5860	1189.3360	1153.6460	1169.336	0.0599999999999	horizontal	29	367
VDD	PATH_11_676	{20.0000 1150.2420} {1189.3360 1150.3020}	20.0000	1150.2420	1189.3360	1150.3020	1169.336	0.0599999999999	horizontal	29	399
VDD	PATH_11_674	{20.0000 1146.8980} {1189.3360 1146.9580}	20.0000	1146.8980	1189.3360	1146.9580	1169.336	0.0600000000002	horizontal	29	410
VDD	PATH_11_672	{20.0000 1143.5540} {1189.3360 1143.6140}	20.0000	1143.5540	1189.3360	1143.6140	1169.336	0.0599999999999	horizontal	29	391
VDD	PATH_11_670	{20.0000 1140.2100} {1189.3360 1140.2700}	20.0000	1140.2100	1189.3360	1140.2700	1169.336	0.0599999999999	horizontal	29	390
