x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
54.5	PATH_11_507	VSS	867.704	{54.35 867.554} {54.65 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
54.5	PATH_11_507	VSS	867.704	{54.35 867.554} {54.65 867.854}	signal	shape	PATH_17_7089	M4	n25226	{54.3240 861.1400} {54.3800 878.2200}
54.5	PATH_11_507	VSS	867.704	{54.35 867.554} {54.65 867.854}	signal	shape	PATH_17_160495	M4	ZBUF_571_2527	{54.6280 842.2920} {54.6840 897.3720}
54.5	PATH_11_507	VSS	867.704	{54.35 867.554} {54.65 867.854}	signal	shape	PATH_13_451646	M2	n76121	{54.4760 862.6600} {54.5320 870.3160}
54.6	PATH_11_507	VSS	867.704	{54.45 867.554} {54.75 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
54.6	PATH_11_507	VSS	867.704	{54.45 867.554} {54.75 867.854}	signal	shape	PATH_17_160495	M4	ZBUF_571_2527	{54.6280 842.2920} {54.6840 897.3720}
54.6	PATH_11_507	VSS	867.704	{54.45 867.554} {54.75 867.854}	signal	shape	PATH_13_451646	M2	n76121	{54.4760 862.6600} {54.5320 870.3160}
54.7	PATH_11_507	VSS	867.704	{54.55 867.554} {54.85 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
54.7	PATH_11_507	VSS	867.704	{54.55 867.554} {54.85 867.854}	signal	shape	PATH_17_160495	M4	ZBUF_571_2527	{54.6280 842.2920} {54.6840 897.3720}
54.8	PATH_11_507	VSS	867.704	{54.65 867.554} {54.95 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
54.8	PATH_11_507	VSS	867.704	{54.65 867.554} {54.95 867.854}	signal	shape	PATH_17_160495	M4	ZBUF_571_2527	{54.6280 842.2920} {54.6840 897.3720}
54.9	PATH_11_507	VSS	867.704	{54.75 867.554} {55.05 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
55.0	PATH_11_507	VSS	867.704	{54.85 867.554} {55.15 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
55.1	PATH_11_507	VSS	867.704	{54.95 867.554} {55.25 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
55.1	PATH_11_507	VSS	867.704	{54.95 867.554} {55.25 867.854}	signal	shape	PATH_21_8121	M6	n139966	{55.2360 852.3240} {55.2920 879.1320}
55.2	PATH_11_507	VSS	867.704	{55.05 867.554} {55.35 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
55.2	PATH_11_507	VSS	867.704	{55.05 867.554} {55.35 867.854}	signal	shape	PATH_21_8121	M6	n139966	{55.2360 852.3240} {55.2920 879.1320}
55.3	PATH_11_507	VSS	867.704	{55.15 867.554} {55.45 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
55.3	PATH_11_507	VSS	867.704	{55.15 867.554} {55.45 867.854}	signal	shape	PATH_21_8121	M6	n139966	{55.2360 852.3240} {55.2920 879.1320}
55.3	PATH_11_507	VSS	867.704	{55.15 867.554} {55.45 867.854}	signal	shape	PATH_15_293381	M3	n132950	{55.3560 867.5220} {55.5980 867.5820}
55.4	PATH_11_507	VSS	867.704	{55.25 867.554} {55.55 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
55.4	PATH_11_507	VSS	867.704	{55.25 867.554} {55.55 867.854}	signal	shape	PATH_21_8121	M6	n139966	{55.2360 852.3240} {55.2920 879.1320}
55.4	PATH_11_507	VSS	867.704	{55.25 867.554} {55.55 867.854}	signal	shape	PATH_19_18713	M5	n132950	{55.5400 867.5240} {57.1160 867.5800}
55.4	PATH_11_507	VSS	867.704	{55.25 867.554} {55.55 867.854}	signal	shape	PATH_17_44946	M4	n132950	{55.5380 867.3400} {55.5980 867.5820}
55.4	PATH_11_507	VSS	867.704	{55.25 867.554} {55.55 867.854}	signal	shape	PATH_15_293381	M3	n132950	{55.3560 867.5220} {55.5980 867.5820}
55.4	PATH_11_507	VSS	867.704	{55.25 867.554} {55.55 867.854}	signal	shape	PATH_13_627592	M2	n132950	{55.5400 865.0920} {55.5960 867.5800}
55.4	PATH_11_507	VSS	867.704	{55.25 867.554} {55.55 867.854}	signal	shape	PATH_13_627593	M2	n132950	{55.5400 867.5240} {55.5960 872.1400}
55.4	PATH_11_507	VSS	867.704	{55.25 867.554} {55.55 867.854}	signal	via	VIA_S_992981	VIA23SQ_C	n132950	{55.5130 867.4970} {55.6230 867.6070}
55.4	PATH_11_507	VSS	867.704	{55.25 867.554} {55.55 867.854}	signal	via	VIA_S_992982	VIA34SQ_C	n132950	{55.5130 867.4970} {55.6230 867.6070}
55.4	PATH_11_507	VSS	867.704	{55.25 867.554} {55.55 867.854}	signal	via	VIA_S_992983	VIA45SQ_C	n132950	{55.5130 867.4970} {55.6230 867.6070}
55.5	PATH_11_507	VSS	867.704	{55.35 867.554} {55.65 867.854}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
55.5	PATH_11_507	VSS	867.704	{55.35 867.554} {55.65 867.854}	signal	shape	PATH_19_18713	M5	n132950	{55.5400 867.5240} {57.1160 867.5800}
55.5	PATH_11_507	VSS	867.704	{55.35 867.554} {55.65 867.854}	signal	shape	PATH_17_44946	M4	n132950	{55.5380 867.3400} {55.5980 867.5820}
55.5	PATH_11_507	VSS	867.704	{55.35 867.554} {55.65 867.854}	signal	shape	PATH_15_293381	M3	n132950	{55.3560 867.5220} {55.5980 867.5820}
55.5	PATH_11_507	VSS	867.704	{55.35 867.554} {55.65 867.854}	signal	shape	PATH_13_627592	M2	n132950	{55.5400 865.0920} {55.5960 867.5800}
