via	net	bbox	via_def	tag
VIA_SA_30934	VDD	{49.7650 327.5930} {50.2350 327.7030}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30935	VDD	{49.7650 327.5930} {50.2350 327.7030}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30936	VDD	{49.7650 327.5930} {50.2350 327.7030}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30937	VDD	{49.7650 327.5930} {50.2350 327.7030}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30938	VDD	{49.7650 327.5930} {50.2350 327.7030}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30939	VDD	{49.7650 327.5930} {50.2350 327.7030}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30940	VDD	{49.7650 367.7210} {50.2350 367.8310}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30941	VDD	{49.7650 367.7210} {50.2350 367.8310}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30942	VDD	{49.7650 367.7210} {50.2350 367.8310}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30943	VDD	{49.7650 367.7210} {50.2350 367.8310}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30944	VDD	{49.7650 367.7210} {50.2350 367.8310}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30945	VDD	{49.7650 367.7210} {50.2350 367.8310}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30946	VDD	{49.7650 407.8490} {50.2350 407.9590}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30947	VDD	{49.7650 407.8490} {50.2350 407.9590}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30948	VDD	{49.7650 407.8490} {50.2350 407.9590}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30949	VDD	{49.7650 407.8490} {50.2350 407.9590}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30950	VDD	{49.7650 407.8490} {50.2350 407.9590}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30951	VDD	{49.7650 407.8490} {50.2350 407.9590}	VIA67SQ_C	pg_m1_m7_ladder_repair
