shape	net	shape_bbox	ladder_x	half_box	ladder_bbox	status
PATH_11_184	VDD	{20.0000 327.6180} {1189.3360 327.6780}	50.0	0.25	{49.75 327.398} {50.25 327.898}	attempt
PATH_11_208	VDD	{20.0000 367.7460} {1189.3360 367.8060}	50.0	0.25	{49.75 367.526} {50.25 368.026}	attempt
PATH_11_232	VDD	{20.0000 407.8740} {1189.3360 407.9340}	50.0	0.25	{49.75 407.654} {50.25 408.154}	attempt
PATH_11_256	VDD	{20.0000 448.0020} {1189.3360 448.0620}	50.0	0.25	{49.75 447.782} {50.25 448.282}	attempt
PATH_11_280	VDD	{20.0000 488.1300} {1189.3360 488.1900}	50.0	0.25	{49.75 487.91} {50.25 488.41}	attempt
PATH_11_304	VDD	{20.0000 528.2580} {1189.3360 528.3180}	50.0	0.25	{49.75 528.038} {50.25 528.538}	attempt
PATH_11_328	VDD	{20.0000 568.3860} {1189.3360 568.4460}	50.0	0.25	{49.75 568.166} {50.25 568.666}	attempt
PATH_11_483	VSS	{20.0000 827.5460} {1189.3360 827.6060}	20.0	0.25	{19.75 827.326} {20.25 827.826}	attempt
PATH_11_507	VSS	{20.0000 867.6740} {1189.3360 867.7340}	55.0	0.15	{54.85 867.554} {55.15 867.854}	attempt
PATH_11_531	VSS	{20.0000 907.8020} {1189.3360 907.8620}	20.0	0.25	{19.75 907.582} {20.25 908.082}	attempt
PATH_11_555	VSS	{20.0000 947.9300} {1189.3360 947.9900}	20.0	0.25	{19.75 947.71} {20.25 948.21}	attempt
PATH_11_579	VSS	{20.0000 988.0580} {1189.3360 988.1180}	20.0	0.25	{19.75 987.838} {20.25 988.338}	attempt
PATH_11_603	VSS	{20.0000 1028.1860} {1189.3360 1028.2460}	20.0	0.25	{19.75 1027.966} {20.25 1028.466}	attempt
PATH_11_627	VSS	{20.0000 1068.3140} {1189.3360 1068.3740}	20.0	0.25	{19.75 1068.094} {20.25 1068.594}	attempt
