x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	signal	shape	PATH_15_599541	M3	ZBUF_61_2921	{20.1240 867.5240} {22.6120 867.5800}
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	signal	shape	PATH_13_1100484	M2	ZBUF_61_2921	{20.1240 867.5240} {20.1800 868.4920}
25.0	PATH_11_507	VSS	867.704	{24.75 867.454} {25.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
25.0	PATH_11_507	VSS	867.704	{24.75 867.454} {25.25 867.954}	signal	shape	PATH_17_62637	M4	n139966	{24.8360 861.4440} {24.8920 873.0520}
25.0	PATH_11_507	VSS	867.704	{24.75 867.454} {25.25 867.954}	signal	shape	PATH_13_752920	M2	n140025	{24.8360 866.9160} {24.8920 871.8360}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	signal	shape	PATH_21_13493	M6	ZBUF_143_1089	{29.7000 802.4680} {29.7560 911.3560}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	signal	shape	PATH_15_371769	M3	n140366	{28.3320 867.8280} {30.2120 867.8840}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	signal	shape	PATH_15_371770	M3	n140366	{30.1560 867.8280} {30.2120 868.1880}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	signal	shape	PATH_13_453950	M2	n76819	{29.7000 861.4440} {29.7560 870.0120}
35.0	PATH_11_507	VSS	867.704	{34.75 867.454} {35.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
35.0	PATH_11_507	VSS	867.704	{34.75 867.454} {35.25 867.954}	signal	shape	PATH_19_7967	M5	n76799	{33.9560 867.5240} {46.1720 867.5800}
35.0	PATH_11_507	VSS	867.704	{34.75 867.454} {35.25 867.954}	signal	shape	PATH_17_20953	M4	n76596	{34.8680 861.7480} {34.9240 876.3960}
35.0	PATH_11_507	VSS	867.704	{34.75 867.454} {35.25 867.954}	signal	shape	PATH_17_21030	M4	n76814	{35.1720 854.7560} {35.2280 869.4040}
35.0	PATH_11_507	VSS	867.704	{34.75 867.454} {35.25 867.954}	signal	shape	PATH_13_453013	M2	n76541	{34.7160 859.1640} {34.7720 870.9240}
35.0	PATH_11_507	VSS	867.704	{34.75 867.454} {35.25 867.954}	signal	shape	PATH_13_1080451	M2	ZBUF_671_2762	{35.0200 865.7000} {35.0760 870.3160}
35.0	PATH_11_507	VSS	867.704	{34.75 867.454} {35.25 867.954}	signal	shape	PATH_13_1102275	M2	ZBUF_230_2923	{35.1720 866.3080} {35.2280 870.1640}
40.0	PATH_11_507	VSS	867.704	{39.75 867.454} {40.25 867.954}	pg	shape	PATH_13_21	M2	VDD	{39.8000 13.0000} {40.2000 1195.7280}
40.0	PATH_11_507	VSS	867.704	{39.75 867.454} {40.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
40.0	PATH_11_507	VSS	867.704	{39.75 867.454} {40.25 867.954}	signal	shape	PATH_19_7967	M5	n76799	{33.9560 867.5240} {46.1720 867.5800}
40.0	PATH_11_507	VSS	867.704	{39.75 867.454} {40.25 867.954}	signal	shape	PATH_21_17181	M6	ZBUF_1906_2029	{40.0360 859.0120} {40.0920 870.0120}
40.0	PATH_11_507	VSS	867.704	{39.75 867.454} {40.25 867.954}	signal	shape	PATH_17_63588	M4	n140366	{39.7320 855.9720} {39.7880 868.1880}
40.0	PATH_11_507	VSS	867.704	{39.75 867.454} {40.25 867.954}	signal	shape	PATH_15_202611	M3	n76593	{36.2360 867.8280} {43.1320 867.8840}
40.0	PATH_11_507	VSS	867.704	{39.75 867.454} {40.25 867.954}	signal	shape	PATH_15_359540	M3	n138899	{37.7560 867.5240} {40.7000 867.5800}
45.0	PATH_11_507	VSS	867.704	{44.75 867.454} {45.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
45.0	PATH_11_507	VSS	867.704	{44.75 867.454} {45.25 867.954}	signal	shape	PATH_19_7967	M5	n76799	{33.9560 867.5240} {46.1720 867.5800}
45.0	PATH_11_507	VSS	867.704	{44.75 867.454} {45.25 867.954}	signal	shape	PATH_21_17866	M6	ZBUF_312_2060	{44.9000 852.9320} {44.9560 874.2680}
45.0	PATH_11_507	VSS	867.704	{44.75 867.454} {45.25 867.954}	signal	shape	PATH_17_56225	M4	n138015	{45.2040 866.9160} {45.2600 867.5800}
45.0	PATH_11_507	VSS	867.704	{44.75 867.454} {45.25 867.954}	signal	shape	PATH_17_161782	M4	ZBUF_543_2538	{44.9000 855.3640} {44.9560 868.1880}
45.0	PATH_11_507	VSS	867.704	{44.75 867.454} {45.25 867.954}	signal	shape	PATH_15_350218	M3	n138015	{45.0500 867.5220} {45.2620 867.5820}
45.0	PATH_11_507	VSS	867.704	{44.75 867.454} {45.25 867.954}	signal	shape	PATH_13_721296	M2	n138015	{45.0520 866.7640} {45.1080 867.5800}
45.0	PATH_11_507	VSS	867.704	{44.75 867.454} {45.25 867.954}	signal	via	VIA_S_1151258	VIA34SQ_C	n138015	{45.1770 867.4970} {45.2870 867.6070}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_17_59569	M4	n138980	{49.7640 850.8040} {49.8200 874.2680}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_17_148059	M4	ZBUF_477_1621	{50.0680 860.2280} {50.1240 869.1000}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_15_371782	M3	n140366	{48.7000 867.8280} {52.8600 867.8840}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_13_453096	M2	n76568	{49.9160 866.9160} {49.9720 868.1880}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_15_606641	M3	ZBUF_179_2956	{49.1560 867.5240} {53.7720 867.5800}
50.0	PATH_11_507	VSS	867.704	{49.75 867.454} {50.25 867.954}	signal	shape	PATH_13_736287	M2	n138887	{49.7640 862.9640} {49.8200 869.7080}
55.0	PATH_11_507	VSS	867.704	{54.75 867.454} {55.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
55.0	PATH_11_507	VSS	867.704	{54.75 867.454} {55.25 867.954}	signal	shape	PATH_21_8121	M6	n139966	{55.2360 852.3240} {55.2920 879.1320}
