x	shapes_checked	pg_shape_count	pg_shape_layers	pg_via_count	pg_via_defs	signal_shape_count	signal_shape_layers	signal_via_count	signal_via_defs	status
20.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		2	M2=1,M3=1,M4=0,M5=0,M6=0,M7=0	0		candidate
25.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		2	M2=1,M3=0,M4=1,M5=0,M6=0,M7=0	0		candidate
30.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		4	M2=1,M3=2,M4=0,M5=0,M6=1,M7=0	0		candidate
35.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		6	M2=3,M3=0,M4=2,M5=1,M6=0,M7=0	0		candidate
40.0	1	2	M2=1,M3=0,M4=0,M5=0,M6=0,M7=1	0		5	M2=0,M3=2,M4=1,M5=1,M6=1,M7=0	0		candidate
45.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		6	M2=1,M3=1,M4=2,M5=1,M6=1,M7=0	1	VIA34SQ_C 1	candidate
50.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		6	M2=2,M3=2,M4=2,M5=0,M6=0,M7=0	0		candidate
55.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		1	M2=0,M3=0,M4=0,M5=0,M6=1,M7=0	0		candidate
60.0	1	2	M2=1,M3=0,M4=0,M5=0,M6=0,M7=1	6	VIA56LG_C 1 VIA34LG_C 1 VIA78LG_C 1 VIA67LG_C 1 VIA45LG_C 1 VIA23LG_C 1	0	M2=0,M3=0,M4=0,M5=0,M6=0,M7=0	0		no_non_pg_objects
65.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		5	M2=1,M3=1,M4=1,M5=1,M6=1,M7=0	0		candidate
70.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		5	M2=1,M3=1,M4=1,M5=1,M6=1,M7=0	1	VIA23SQ_C 1	candidate
75.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		3	M2=0,M3=2,M4=0,M5=1,M6=0,M7=0	1	VIA12SQ_C 1	candidate
80.0	1	2	M2=1,M3=0,M4=0,M5=0,M6=0,M7=1	0		6	M2=0,M3=2,M4=2,M5=1,M6=1,M7=0	0		candidate
85.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		9	M2=4,M3=2,M4=1,M5=1,M6=1,M7=0	0		candidate
90.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		9	M2=4,M3=1,M4=2,M5=1,M6=1,M7=0	0		candidate
95.0	1	1	M2=0,M3=0,M4=0,M5=0,M6=0,M7=1	0		10	M2=5,M3=2,M4=2,M5=0,M6=1,M7=0	1	VIA23SQ_C 1	candidate
100.0	1	2	M2=1,M3=0,M4=0,M5=0,M6=0,M7=1	6	VIA56LG_C 1 VIA34LG_C 1 VIA78LG_C 1 VIA67LG_C 1 VIA45LG_C 1 VIA23LG_C 1	0	M2=0,M3=0,M4=0,M5=0,M6=0,M7=0	0		no_non_pg_objects
