x	shape	net	y	bbox	object_type	object_name	object_layer	object_net	object_bbox
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	shape	PATH_15_599541	M3	ZBUF_61_2921	{20.1240 867.5240} {22.6120 867.5800}
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	shape	PATH_13_1100484	M2	ZBUF_61_2921	{20.1240 867.5240} {20.1800 868.4920}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	shape	PATH_19_4512	M5	n48805	{27.2680 827.3960} {38.5720 827.4520}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	shape	PATH_21_13493	M6	ZBUF_143_1089	{29.7000 802.4680} {29.7560 911.3560}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	shape	PATH_13_368047	M2	n48706	{29.7000 820.1000} {29.7560 829.4280}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	shape	PATH_13_751212	M2	n139954	{29.8520 826.7880} {29.9080 828.3640}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	shape	PATH_13_1220191	M2	ZBUF_317_3378	{30.0040 826.4840} {30.0600 831.1000}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	shape	PATH_21_13493	M6	ZBUF_143_1089	{29.7000 802.4680} {29.7560 911.3560}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	shape	PATH_15_371769	M3	n140366	{28.3320 867.8280} {30.2120 867.8840}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	shape	PATH_15_371770	M3	n140366	{30.1560 867.8280} {30.2120 868.1880}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	shape	PATH_13_453950	M2	n76819	{29.7000 861.4440} {29.7560 870.0120}
30.0	PATH_11_531	VSS	907.832	{29.75 907.582} {30.25 908.082}	shape	PATH_21_13493	M6	ZBUF_143_1089	{29.7000 802.4680} {29.7560 911.3560}
30.0	PATH_11_531	VSS	907.832	{29.75 907.582} {30.25 908.082}	shape	PATH_19_26453	M5	n139352	{22.7080 907.6520} {35.2280 907.7080}
30.0	PATH_11_531	VSS	907.832	{29.75 907.582} {30.25 908.082}	shape	PATH_13_931123	M2	ZBUF_1076_1074	{30.1560 898.8360} {30.2120 910.4440}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	shape	PATH_15_177686	M3	n59237	{26.5080 947.7800} {30.5160 947.8360}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	shape	PATH_15_177888	M3	n59357	{28.0280 948.0840} {31.2760 948.1400}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	shape	PATH_13_400120	M2	n59251	{29.8520 928.4760} {29.9080 952.0920}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	shape	PATH_13_400437	M2	n59343	{29.7000 947.4760} {29.7560 948.5960}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	shape	PATH_13_400606	M2	n59396	{30.0040 947.1720} {30.0600 961.9720}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	shape	PATH_13_400763	M2	n59450	{30.1560 942.1560} {30.2120 949.0520}
40.0	PATH_11_483	VSS	827.576	{39.75 827.326} {40.25 827.826}	shape	PATH_21_18831	M6	ZBUF_571_2527	{40.0360 824.3560} {40.0920 827.4520}
40.0	PATH_11_483	VSS	827.576	{39.75 827.326} {40.25 827.826}	shape	PATH_19_80208	M5	ZBUF_571_2527	{40.0360 827.3960} {47.6920 827.4520}
40.0	PATH_11_483	VSS	827.576	{39.75 827.326} {40.25 827.826}	shape	PATH_17_129460	M4	ZBUF_1070_83	{39.7320 809.7640} {39.7880 829.8840}
40.0	PATH_11_483	VSS	827.576	{39.75 827.326} {40.25 827.826}	shape	PATH_15_163129	M3	n48813	{36.5400 827.7000} {44.9560 827.7560}
40.0	PATH_11_507	VSS	867.704	{39.75 867.454} {40.25 867.954}	shape	PATH_19_7967	M5	n76799	{33.9560 867.5240} {46.1720 867.5800}
40.0	PATH_11_507	VSS	867.704	{39.75 867.454} {40.25 867.954}	shape	PATH_21_17181	M6	ZBUF_1906_2029	{40.0360 859.0120} {40.0920 870.0120}
