x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
20.0	PATH_11_483	VSS	827.576	{19.75 827.326} {20.25 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	signal	shape	PATH_15_599541	M3	ZBUF_61_2921	{20.1240 867.5240} {22.6120 867.5800}
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	signal	shape	PATH_13_1100484	M2	ZBUF_61_2921	{20.1240 867.5240} {20.1800 868.4920}
20.0	PATH_11_531	VSS	907.832	{19.75 907.582} {20.25 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
20.0	PATH_11_555	VSS	947.96	{19.75 947.71} {20.25 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
20.0	PATH_11_579	VSS	988.088	{19.75 987.838} {20.25 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
20.0	PATH_11_603	VSS	1028.216	{19.75 1027.966} {20.25 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
20.0	PATH_11_627	VSS	1068.344	{19.75 1068.094} {20.25 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
25.0	PATH_11_483	VSS	827.576	{24.75 827.326} {25.25 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
25.0	PATH_11_483	VSS	827.576	{24.75 827.326} {25.25 827.826}	signal	shape	PATH_17_61322	M4	n139386	{25.1400 821.3160} {25.1960 832.3160}
25.0	PATH_11_483	VSS	827.576	{24.75 827.326} {25.25 827.826}	signal	shape	PATH_15_163121	M3	n48805	{24.9880 827.7000} {27.3240 827.7560}
25.0	PATH_11_483	VSS	827.576	{24.75 827.326} {25.25 827.826}	signal	shape	PATH_13_368374	M2	n48805	{24.9880 827.7000} {25.0440 828.3640}
25.0	PATH_11_483	VSS	827.576	{24.75 827.326} {25.25 827.826}	signal	shape	PATH_13_1028931	M2	ZBUF_253_2201	{24.8360 827.7000} {24.8920 828.3640}
25.0	PATH_11_507	VSS	867.704	{24.75 867.454} {25.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
25.0	PATH_11_507	VSS	867.704	{24.75 867.454} {25.25 867.954}	signal	shape	PATH_17_62637	M4	n139966	{24.8360 861.4440} {24.8920 873.0520}
25.0	PATH_11_507	VSS	867.704	{24.75 867.454} {25.25 867.954}	signal	shape	PATH_13_752920	M2	n140025	{24.8360 866.9160} {24.8920 871.8360}
25.0	PATH_11_531	VSS	907.832	{24.75 907.582} {25.25 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
25.0	PATH_11_531	VSS	907.832	{24.75 907.582} {25.25 908.082}	signal	shape	PATH_17_6757	M4	n24338	{25.1400 901.5720} {25.1960 908.6200}
25.0	PATH_11_531	VSS	907.832	{24.75 907.582} {25.25 908.082}	signal	shape	PATH_19_26453	M5	n139352	{22.7080 907.6520} {35.2280 907.7080}
25.0	PATH_11_531	VSS	907.832	{24.75 907.582} {25.25 908.082}	signal	shape	PATH_15_493486	M3	ZBUF_542_1079	{24.2280 907.9560} {26.1080 908.0120}
25.0	PATH_11_555	VSS	947.96	{24.75 947.71} {25.25 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
25.0	PATH_11_555	VSS	947.96	{24.75 947.71} {25.25 948.21}	signal	shape	PATH_13_398466	M2	n58720	{24.8360 942.3080} {24.8920 948.1400}
25.0	PATH_11_555	VSS	947.96	{24.75 947.71} {25.25 948.21}	signal	shape	PATH_13_398518	M2	n58741	{25.1400 944.7400} {25.1960 955.4360}
25.0	PATH_11_579	VSS	988.088	{24.75 987.838} {25.25 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
25.0	PATH_11_603	VSS	1028.216	{24.75 1027.966} {25.25 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
25.0	PATH_11_627	VSS	1068.344	{24.75 1068.094} {25.25 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	signal	shape	PATH_19_4512	M5	n48805	{27.2680 827.3960} {38.5720 827.4520}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	signal	shape	PATH_21_13493	M6	ZBUF_143_1089	{29.7000 802.4680} {29.7560 911.3560}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	signal	shape	PATH_13_368047	M2	n48706	{29.7000 820.1000} {29.7560 829.4280}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	signal	shape	PATH_13_751212	M2	n139954	{29.8520 826.7880} {29.9080 828.3640}
30.0	PATH_11_483	VSS	827.576	{29.75 827.326} {30.25 827.826}	signal	shape	PATH_13_1220191	M2	ZBUF_317_3378	{30.0040 826.4840} {30.0600 831.1000}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	signal	shape	PATH_21_13493	M6	ZBUF_143_1089	{29.7000 802.4680} {29.7560 911.3560}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	signal	shape	PATH_15_371769	M3	n140366	{28.3320 867.8280} {30.2120 867.8840}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	signal	shape	PATH_15_371770	M3	n140366	{30.1560 867.8280} {30.2120 868.1880}
30.0	PATH_11_507	VSS	867.704	{29.75 867.454} {30.25 867.954}	signal	shape	PATH_13_453950	M2	n76819	{29.7000 861.4440} {29.7560 870.0120}
30.0	PATH_11_531	VSS	907.832	{29.75 907.582} {30.25 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
30.0	PATH_11_531	VSS	907.832	{29.75 907.582} {30.25 908.082}	signal	shape	PATH_21_13493	M6	ZBUF_143_1089	{29.7000 802.4680} {29.7560 911.3560}
30.0	PATH_11_531	VSS	907.832	{29.75 907.582} {30.25 908.082}	signal	shape	PATH_19_26453	M5	n139352	{22.7080 907.6520} {35.2280 907.7080}
30.0	PATH_11_531	VSS	907.832	{29.75 907.582} {30.25 908.082}	signal	shape	PATH_13_931123	M2	ZBUF_1076_1074	{30.1560 898.8360} {30.2120 910.4440}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	signal	shape	PATH_15_177686	M3	n59237	{26.5080 947.7800} {30.5160 947.8360}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	signal	shape	PATH_15_177888	M3	n59357	{28.0280 948.0840} {31.2760 948.1400}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	signal	shape	PATH_13_400120	M2	n59251	{29.8520 928.4760} {29.9080 952.0920}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	signal	shape	PATH_13_400437	M2	n59343	{29.7000 947.4760} {29.7560 948.5960}
30.0	PATH_11_555	VSS	947.96	{29.75 947.71} {30.25 948.21}	signal	shape	PATH_13_400606	M2	n59396	{30.0040 947.1720} {30.0600 961.9720}
