x	shapes_checked	pg_shape_count	pg_shape_layers	pg_via_count	pg_via_defs	signal_shape_count	signal_shape_layers	signal_via_count	signal_via_defs	status
20.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		2	M2=1,M3=1,M4=0,M5=0,M6=0,M7=0	0		candidate
25.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		11	M2=5,M3=2,M4=3,M5=1,M6=0,M7=0	0		candidate
30.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		18	M2=9,M3=4,M4=0,M5=2,M6=3,M7=0	0		candidate
35.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		22	M2=7,M3=3,M4=5,M5=5,M6=2,M7=0	1	VIA56SQ_C 1	candidate
40.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	0		15	M2=0,M3=6,M4=5,M5=2,M6=2,M7=0	0		candidate
45.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		25	M2=6,M3=7,M4=6,M5=4,M6=2,M7=0	2	VIA34SQ_C 1 VIA45SQ_C 1	candidate
50.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		25	M2=7,M3=6,M4=7,M5=3,M6=2,M7=0	0		candidate
55.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		23	M2=7,M3=5,M4=5,M5=3,M6=3,M7=0	2	VIA56SQ_C 1 VIA34SQ_C 1	candidate
60.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	42	VIA56LG_C 7 VIA34LG_C 7 VIA78LG_C 7 VIA67LG_C 7 VIA45LG_C 7 VIA23LG_C 7	1	M2=0,M3=1,M4=0,M5=0,M6=0,M7=0	0		candidate
65.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		23	M2=7,M3=7,M4=3,M5=3,M6=3,M7=0	2	VIA34SQ_C 1 VIA23SQ_C 1	candidate
70.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		22	M2=6,M3=5,M4=5,M5=4,M6=2,M7=0	1	VIA23SQ_C 1	candidate
75.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		18	M2=5,M3=7,M4=1,M5=5,M6=0,M7=0	4	VIA34SQ_C 2 VIA12SQ_C 1 VIA45SQ_C 1	candidate
80.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	0		24	M2=0,M3=11,M4=7,M5=4,M6=2,M7=0	0		candidate
85.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		36	M2=15,M3=8,M4=6,M5=4,M6=3,M7=0	1	VIA23SQ_C 1	candidate
90.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		29	M2=9,M3=6,M4=6,M5=5,M6=3,M7=0	1	VIA23SQ_C 1	candidate
95.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		42	M2=19,M3=7,M4=8,M5=5,M6=3,M7=0	6	VIA34SQ_C 1 VIA56SQ_C 1 VIA12SQ_C 1 VIA45SQ_C 1 VIA23SQ_C 2	candidate
100.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	42	VIA56LG_C 7 VIA34LG_C 7 VIA78LG_C 7 VIA67LG_C 7 VIA45LG_C 7 VIA23LG_C 7	2	M2=0,M3=1,M4=0,M5=1,M6=0,M7=0	0		candidate
105.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		36	M2=13,M3=5,M4=10,M5=4,M6=4,M7=0	0		candidate
110.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		25	M2=10,M3=6,M4=1,M5=4,M6=4,M7=0	2	VIA23SQ_C 1 VIA45SQ_C 1	candidate
115.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		39	M2=13,M3=10,M4=12,M5=2,M6=2,M7=0	0		candidate
120.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	0		14	M2=0,M3=9,M4=2,M5=3,M6=0,M7=0	1	VIA56SQ_C 1	candidate
125.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		44	M2=19,M3=10,M4=7,M5=3,M6=5,M7=0	1	VIA23SQ_C 1	candidate
130.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		47	M2=13,M3=15,M4=10,M5=3,M6=6,M7=0	4	VIA34SQ_C 3 VIA23SQ_C 1	candidate
135.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		37	M2=14,M3=9,M4=6,M5=4,M6=4,M7=0	3	VIA12SQ_C 2 VIA23SQ_C 1	candidate
140.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	42	VIA56LG_C 7 VIA34LG_C 7 VIA78LG_C 7 VIA67LG_C 7 VIA45LG_C 7 VIA23LG_C 7	0	M2=0,M3=0,M4=0,M5=0,M6=0,M7=0	0		no_non_pg_objects
145.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		30	M2=10,M3=7,M4=7,M5=5,M6=1,M7=0	1	VIA23SQ_C 1	candidate
150.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		44	M2=15,M3=9,M4=8,M5=6,M6=6,M7=0	0		candidate
155.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		37	M2=12,M3=10,M4=3,M5=6,M6=6,M7=0	1	VIA23SQ_C 1	candidate
160.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	0		26	M2=0,M3=8,M4=10,M5=6,M6=2,M7=0	0		candidate
165.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		31	M2=8,M3=13,M4=6,M5=4,M6=0,M7=0	2	VIA23SQ_C 2	candidate
170.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		35	M2=10,M3=11,M4=10,M5=3,M6=1,M7=0	0		candidate
175.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		46	M2=16,M3=14,M4=7,M5=5,M6=4,M7=0	2	VIA34SQ_C 1 VIA23SQ_C 1	candidate
180.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	42	VIA56LG_C 7 VIA34LG_C 7 VIA78LG_C 7 VIA67LG_C 7 VIA45LG_C 7 VIA23LG_C 7	2	M2=0,M3=1,M4=0,M5=1,M6=0,M7=0	0		candidate
185.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		54	M2=17,M3=13,M4=10,M5=8,M6=6,M7=0	3	VIA34SQ_C 1 VIA45SQ_C 1 VIA23SQ_C 1	candidate
190.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		53	M2=21,M3=14,M4=11,M5=6,M6=1,M7=0	3	VIA23SQ_C 3	candidate
195.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		42	M2=8,M3=11,M4=12,M5=7,M6=4,M7=0	1	VIA23SQ_C 1	candidate
200.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	0		27	M2=0,M3=13,M4=7,M5=5,M6=2,M7=0	1	VIA34SQ_C 1	candidate
205.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		47	M2=14,M3=11,M4=9,M5=6,M6=7,M7=0	1	VIA23SQ_C 1	candidate
210.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		35	M2=15,M3=12,M4=4,M5=4,M6=0,M7=0	1	VIA23SQ_C 1	candidate
215.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		43	M2=12,M3=10,M4=9,M5=6,M6=6,M7=0	2	VIA12SQ_C 1 VIA23SQ_C 1	candidate
220.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	42	VIA56LG_C 7 VIA34LG_C 7 VIA78LG_C 7 VIA67LG_C 7 VIA45LG_C 7 VIA23LG_C 7	4	M2=0,M3=3,M4=0,M5=1,M6=0,M7=0	0		candidate
225.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		62	M2=18,M3=16,M4=14,M5=7,M6=7,M7=0	7	VIA34SQ_C 1 VIA45SQ_C 1 VIA23SQ_C 5	candidate
230.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		51	M2=16,M3=13,M4=12,M5=6,M6=4,M7=0	6	VIA34SQ_C 1 VIA12SQ_C 3 VIA23SQ_C 2	candidate
235.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		52	M2=17,M3=12,M4=12,M5=5,M6=6,M7=0	4	VIA34SQ_C 2 VIA12SQ_C 1 VIA23SQ_C 1	candidate
240.0	7	14	M2=7,M3=0,M4=0,M5=0,M6=0,M7=7	0		30	M2=0,M3=13,M4=10,M5=6,M6=1,M7=0	1	VIA34SQ_C 1	candidate
245.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		55	M2=20,M3=12,M4=10,M5=6,M6=7,M7=0	3	VIA12SQ_C 1 VIA23SQ_C 2	candidate
250.0	7	7	M2=0,M3=0,M4=0,M5=0,M6=0,M7=7	0		54	M2=16,M3=14,M4=14,M5=7,M6=3,M7=0	3	VIA12SQ_C 1 VIA23SQ_C 2	candidate
