x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
18.0	PATH_11_483	VSS	827.576	{17.75 827.326} {18.25 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
18.0	PATH_11_507	VSS	867.704	{17.75 867.454} {18.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
18.0	PATH_11_531	VSS	907.832	{17.75 907.582} {18.25 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
18.0	PATH_11_555	VSS	947.96	{17.75 947.71} {18.25 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
18.0	PATH_11_579	VSS	988.088	{17.75 987.838} {18.25 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
18.0	PATH_11_603	VSS	1028.216	{17.75 1027.966} {18.25 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
18.0	PATH_11_627	VSS	1068.344	{17.75 1068.094} {18.25 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
18.5	PATH_11_483	VSS	827.576	{18.25 827.326} {18.75 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
18.5	PATH_11_507	VSS	867.704	{18.25 867.454} {18.75 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
18.5	PATH_11_531	VSS	907.832	{18.25 907.582} {18.75 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
18.5	PATH_11_555	VSS	947.96	{18.25 947.71} {18.75 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
18.5	PATH_11_579	VSS	988.088	{18.25 987.838} {18.75 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
18.5	PATH_11_603	VSS	1028.216	{18.25 1027.966} {18.75 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
18.5	PATH_11_627	VSS	1068.344	{18.25 1068.094} {18.75 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
19.0	PATH_11_483	VSS	827.576	{18.75 827.326} {19.25 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
19.0	PATH_11_483	VSS	827.576	{18.75 827.326} {19.25 827.826}	signal	shape	PATH_17_123	M4	max_score[7]	{18.7560 679.0440} {18.8120 904.0600}
19.0	PATH_11_507	VSS	867.704	{18.75 867.454} {19.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
19.0	PATH_11_507	VSS	867.704	{18.75 867.454} {19.25 867.954}	signal	shape	PATH_17_123	M4	max_score[7]	{18.7560 679.0440} {18.8120 904.0600}
19.0	PATH_11_531	VSS	907.832	{18.75 907.582} {19.25 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
19.0	PATH_11_555	VSS	947.96	{18.75 947.71} {19.25 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
19.0	PATH_11_579	VSS	988.088	{18.75 987.838} {19.25 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
19.0	PATH_11_603	VSS	1028.216	{18.75 1027.966} {19.25 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
19.0	PATH_11_627	VSS	1068.344	{18.75 1068.094} {19.25 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
19.5	PATH_11_483	VSS	827.576	{19.25 827.326} {19.75 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
19.5	PATH_11_507	VSS	867.704	{19.25 867.454} {19.75 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
19.5	PATH_11_531	VSS	907.832	{19.25 907.582} {19.75 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
19.5	PATH_11_555	VSS	947.96	{19.25 947.71} {19.75 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
19.5	PATH_11_579	VSS	988.088	{19.25 987.838} {19.75 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
19.5	PATH_11_603	VSS	1028.216	{19.25 1027.966} {19.75 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
19.5	PATH_11_627	VSS	1068.344	{19.25 1068.094} {19.75 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
20.0	PATH_11_483	VSS	827.576	{19.75 827.326} {20.25 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	signal	shape	PATH_15_599541	M3	ZBUF_61_2921	{20.1240 867.5240} {22.6120 867.5800}
20.0	PATH_11_507	VSS	867.704	{19.75 867.454} {20.25 867.954}	signal	shape	PATH_13_1100484	M2	ZBUF_61_2921	{20.1240 867.5240} {20.1800 868.4920}
20.0	PATH_11_531	VSS	907.832	{19.75 907.582} {20.25 908.082}	pg	shape	PATH_23_55	M7	VSS	{10.0000 907.5000} {1199.3360 908.5000}
20.0	PATH_11_555	VSS	947.96	{19.75 947.71} {20.25 948.21}	pg	shape	PATH_23_57	M7	VSS	{10.0000 947.5000} {1199.3360 948.5000}
20.0	PATH_11_579	VSS	988.088	{19.75 987.838} {20.25 988.338}	pg	shape	PATH_23_59	M7	VSS	{10.0000 987.5000} {1199.3360 988.5000}
20.0	PATH_11_603	VSS	1028.216	{19.75 1027.966} {20.25 1028.466}	pg	shape	PATH_23_61	M7	VSS	{10.0000 1027.5000} {1199.3360 1028.5000}
20.0	PATH_11_627	VSS	1068.344	{19.75 1068.094} {20.25 1068.594}	pg	shape	PATH_23_63	M7	VSS	{10.0000 1067.5000} {1199.3360 1068.5000}
20.5	PATH_11_483	VSS	827.576	{20.25 827.326} {20.75 827.826}	pg	shape	PATH_23_51	M7	VSS	{10.0000 827.5000} {1199.3360 828.5000}
20.5	PATH_11_483	VSS	827.576	{20.25 827.326} {20.75 827.826}	signal	shape	PATH_13_367670	M2	n48570	{20.4280 820.7080} {20.4840 832.0120}
20.5	PATH_11_507	VSS	867.704	{20.25 867.454} {20.75 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
20.5	PATH_11_507	VSS	867.704	{20.25 867.454} {20.75 867.954}	signal	shape	PATH_17_140797	M4	ZBUF_146_1086	{20.5800 838.6440} {20.6360 874.2680}
