via	net	bbox	via_def	tag
VIA_SA_30934	VSS	{20.0100 827.5210} {20.2400 827.6310}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30935	VSS	{20.0100 827.5210} {20.2400 827.6310}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30936	VSS	{20.0100 827.5210} {20.2400 827.6310}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30937	VSS	{20.0100 827.5210} {20.2400 827.6310}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30938	VSS	{20.0100 827.5210} {20.2400 827.6310}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30939	VSS	{20.0100 827.5210} {20.2400 827.6310}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30940	VSS	{20.0100 867.6490} {20.2400 867.7590}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30941	VSS	{20.0100 867.6490} {20.2400 867.7590}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30942	VSS	{20.0100 867.6490} {20.2400 867.7590}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30943	VSS	{20.0100 867.6490} {20.2400 867.7590}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30944	VSS	{20.0100 867.6490} {20.2400 867.7590}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30945	VSS	{20.0100 867.6490} {20.2400 867.7590}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30946	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30947	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30948	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30949	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30950	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30951	VSS	{20.0100 907.7770} {20.2400 907.8870}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30952	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30953	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30954	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30955	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30956	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30957	VSS	{20.0100 947.9050} {20.2400 948.0150}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30958	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30959	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30960	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30961	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30962	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30963	VSS	{20.0100 988.0330} {20.2400 988.1430}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30964	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30965	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30966	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30967	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30968	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30969	VSS	{20.0100 1028.1610} {20.2400 1028.2710}	VIA67SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30970	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA12SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30971	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA23SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30972	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA34SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30973	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA45SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30974	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA56SQ_C	pg_m1_m7_ladder_repair
VIA_SA_30975	VSS	{20.0100 1068.2890} {20.2400 1068.3990}	VIA67SQ_C	pg_m1_m7_ladder_repair
