id	type_name	error_class	layers	bbox	center	objects	brief_info	verbose_info	status
0	Diff net spacing	basic	M2	{29.7340 827.4650} {29.8120 827.6870}	29.7730,827.5760	n48706,VSS			error
1	Diff net spacing	basic	M2	{29.7090 827.4900} {29.8120 827.6620}	29.7605,827.5760	n48706,VSS			error
2	Short	short	M2	{29.9480 827.4650} {30.1160 827.6870}	30.0320,827.5760	ZBUF_317_3378,VSS			error
3	Short	short	M2	{29.7960 827.4650} {29.9640 827.6870}	29.8800,827.5760	n139954,VSS			error
4	Diff net spacing	basic	M6	{29.7340 827.4650} {29.8120 827.6870}	29.7730,827.5760	ZBUF_143_1089,VSS			error
5	Diff net spacing	basic	M6	{29.7090 827.4900} {29.8120 827.6620}	29.7605,827.5760	ZBUF_143_1089,VSS			error
6	Diff net spacing	basic	M2	{29.7340 867.5930} {29.8120 867.8150}	29.7730,867.7040	n76819,VSS			error
7	Diff net spacing	basic	M2	{29.7090 867.6180} {29.8120 867.7900}	29.7605,867.7040	n76819,VSS			error
8	Diff net spacing	basic	M6	{29.7340 867.5930} {29.8120 867.8150}	29.7730,867.7040	ZBUF_143_1089,VSS			error
9	Diff net spacing	basic	M6	{29.7090 867.6180} {29.8120 867.7900}	29.7605,867.7040	ZBUF_143_1089,VSS			error
10	Short	short	M2	{30.1000 907.7210} {30.2660 907.9430}	30.1830,907.8320	ZBUF_1076_1074,VSS			error
11	Short	short	M2	{30.1000 907.7460} {30.2680 907.9180}	30.1840,907.8320	ZBUF_1076_1074,VSS			error
12	Diff net spacing	basic	M6	{29.7340 907.7210} {29.8120 907.9430}	29.7730,907.8320	ZBUF_143_1089,VSS			error
13	Diff net spacing	basic	M6	{29.7090 907.7460} {29.8120 907.9180}	29.7605,907.8320	ZBUF_143_1089,VSS			error
14	Short	short	M2	{29.9480 947.8490} {30.1160 948.0710}	30.0320,947.9600	n59396,VSS			error
15	Short	short	M2	{29.7960 947.8490} {29.9640 948.0710}	29.8800,947.9600	n59251,VSS			error
16	Diff net spacing	basic	M2	{29.7340 947.8490} {29.8120 948.0710}	29.7730,947.9600	n59343,VSS			error
17	Diff net spacing	basic	M2	{29.7090 947.8740} {29.8120 948.0460}	29.7605,947.9600	n59343,VSS			error
18	Short	short	M2	{30.1000 947.8740} {30.2680 948.0460}	30.1840,947.9600	n59450,VSS			error
19	Short	short	M2	{30.1000 947.8490} {30.2660 948.0710}	30.1830,947.9600	n59450,VSS			error
