id	type_name	error_class	layers	bbox	center	objects	brief_info	verbose_info	status
0	Short	short	M4	{49.7340 827.4650} {49.8760 827.6870}	49.8050,827.5760	n48799,VSS			error
1	Short	short	M4	{49.7090 827.4900} {49.8760 827.6620}	49.7925,827.5760	n48799,VSS			error
2	Short	short	M4	{50.0120 827.4650} {50.1800 827.6870}	50.0960,827.5760	ZBUF_2843_92,VSS			error
3	Short	short	M4	{50.0120 867.5930} {50.1800 867.8150}	50.0960,867.7040	ZBUF_477_1621,VSS			error
4	Short	short	M2	{49.8600 867.5930} {50.0280 867.8150}	49.9440,867.7040	n76568,VSS			error
5	Short	short	M2	{49.7340 867.5930} {49.8760 867.8150}	49.8050,867.7040	n138887,VSS			error
6	Short	short	M2	{49.7090 867.6180} {49.8760 867.7900}	49.7925,867.7040	n138887,VSS			error
7	Short	short	M4	{49.7340 867.5930} {49.8760 867.8150}	49.8050,867.7040	n138980,VSS			error
8	Short	short	M4	{49.7090 867.6180} {49.8760 867.7900}	49.7925,867.7040	n138980,VSS			error
9	Short	short	M4	{50.0120 907.7210} {50.1800 907.9430}	50.0960,907.8320	n25249,VSS			error
10	Short	short	M2	{49.8600 907.7210} {50.0280 907.9430}	49.9440,907.8320	n24308,VSS			error
11	Short	short	M2	{49.7090 907.7460} {49.8760 907.9180}	49.7925,907.8320	n139997,VSS			error
12	Short	short	M2	{49.7340 907.7210} {49.8760 907.9430}	49.8050,907.8320	n139997,VSS			error
13	Diff net spacing	basic	M4	{50.0100 907.7210} {50.1820 907.7910}	50.0960,907.7560	n25249,VSS			error
14	Short	short	M6	{49.7340 907.7210} {49.8760 907.9430}	49.8050,907.8320	n52408,VSS			error
15	Short	short	M6	{49.7090 907.7460} {49.8760 907.9180}	49.7925,907.8320	n52408,VSS			error
16	Short	short	M4	{49.7340 947.8490} {49.8760 948.0710}	49.8050,947.9600	n59458,VSS			error
17	Short	short	M4	{49.7090 947.8740} {49.8760 948.0460}	49.7925,947.9600	n59458,VSS			error
18	Short	short	M6	{49.7340 947.8490} {49.8760 948.0710}	49.8050,947.9600	n137636,VSS			error
19	Short	short	M6	{49.7090 947.8740} {49.8760 948.0460}	49.7925,947.9600	n137636,VSS			error
20	Short	short	M4	{50.0120 947.8490} {50.1800 948.0710}	50.0960,947.9600	ZBUF_71_1120,VSS			error
21	Short	short	M2	{50.0120 947.8490} {50.1800 948.0710}	50.0960,947.9600	n138889,VSS			error
22	Short	short	M2	{49.7090 947.8740} {49.8760 948.0460}	49.7925,947.9600	ZBUF_402_2041,VSS			error
23	Short	short	M2	{49.7340 947.8490} {49.8760 948.0710}	49.8050,947.9600	ZBUF_402_2041,VSS			error
