via	net	bbox	via_def	tag
VIA_SA_30934	VDD	{39.8250 327.5930} {40.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30935	VDD	{79.8250 327.5930} {80.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30936	VDD	{119.8250 327.5930} {120.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30937	VDD	{159.8250 327.5930} {160.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30938	VDD	{199.8250 327.5930} {200.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30939	VDD	{239.8250 327.5930} {240.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30940	VDD	{279.8250 327.5930} {280.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30941	VDD	{319.8250 327.5930} {320.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30942	VDD	{359.8250 327.5930} {360.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30943	VDD	{399.8250 327.5930} {400.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30944	VDD	{439.8250 327.5930} {440.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30945	VDD	{479.8250 327.5930} {480.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30946	VDD	{519.8250 327.5930} {520.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30947	VDD	{559.8250 327.5930} {560.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30948	VDD	{599.8250 327.5930} {600.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30949	VDD	{639.8250 327.5930} {640.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30950	VDD	{679.8250 327.5930} {680.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30951	VDD	{719.8250 327.5930} {720.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30952	VDD	{759.8250 327.5930} {760.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30953	VDD	{799.8250 327.5930} {800.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30954	VDD	{839.8250 327.5930} {840.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30955	VDD	{879.8250 327.5930} {880.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30956	VDD	{919.8250 327.5930} {920.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30957	VDD	{959.8250 327.5930} {960.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30958	VDD	{999.8250 327.5930} {1000.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30959	VDD	{1039.8250 327.5930} {1040.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30960	VDD	{1079.8250 327.5930} {1080.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30961	VDD	{1119.8250 327.5930} {1120.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30962	VDD	{1159.8250 327.5930} {1160.1750 327.7030}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30963	VDD	{39.8250 367.7210} {40.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30964	VDD	{79.8250 367.7210} {80.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30965	VDD	{119.8250 367.7210} {120.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30966	VDD	{159.8250 367.7210} {160.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30967	VDD	{199.8250 367.7210} {200.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30968	VDD	{239.8250 367.7210} {240.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30969	VDD	{279.8250 367.7210} {280.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30970	VDD	{319.8250 367.7210} {320.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30971	VDD	{359.8250 367.7210} {360.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30972	VDD	{399.8250 367.7210} {400.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30973	VDD	{439.8250 367.7210} {440.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30974	VDD	{479.8250 367.7210} {480.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30975	VDD	{519.8250 367.7210} {520.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30976	VDD	{559.8250 367.7210} {560.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30977	VDD	{599.8250 367.7210} {600.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30978	VDD	{639.8250 367.7210} {640.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30979	VDD	{679.8250 367.7210} {680.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30980	VDD	{719.8250 367.7210} {720.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30981	VDD	{759.8250 367.7210} {760.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30982	VDD	{799.8250 367.7210} {800.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30983	VDD	{839.8250 367.7210} {840.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30984	VDD	{879.8250 367.7210} {880.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30985	VDD	{919.8250 367.7210} {920.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30986	VDD	{959.8250 367.7210} {960.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30987	VDD	{999.8250 367.7210} {1000.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30988	VDD	{1039.8250 367.7210} {1040.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30989	VDD	{1079.8250 367.7210} {1080.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30990	VDD	{1119.8250 367.7210} {1120.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30991	VDD	{1159.8250 367.7210} {1160.1750 367.8310}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30992	VDD	{39.8250 407.8490} {40.1750 407.9590}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30993	VDD	{79.8250 407.8490} {80.1750 407.9590}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30994	VDD	{119.8250 407.8490} {120.1750 407.9590}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30995	VDD	{159.8250 407.8490} {160.1750 407.9590}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30996	VDD	{199.8250 407.8490} {200.1750 407.9590}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30997	VDD	{239.8250 407.8490} {240.1750 407.9590}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30998	VDD	{279.8250 407.8490} {280.1750 407.9590}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_30999	VDD	{319.8250 407.8490} {320.1750 407.9590}	VIA12SQ_C	pg_via12_rail_repair
VIA_SA_31000	VDD	{359.8250 407.8490} {360.1750 407.9590}	VIA12SQ_C	pg_via12_rail_repair
