id	type_name	error_class	layers	bbox	center	objects	shape	brief_info	verbose_info	status
0	Short	short	M1	{470.3510 95.0580} {470.4010 95.1180}	470.3760,95.0880	eco_net_1838_ZBUF_584_1645	{ polygons {{470.3510 95.0580} {470.3510 95.1180} {470.4010 95.1180} {470.4010 95.0580}} } 			error
1	Short	short	M1	{576.7510 302.3860} {576.8010 302.4460}	576.7760,302.4160	eco_net_1878_ZBUF_2_1315	{ polygons {{576.7510 302.3860} {576.7510 302.4460} {576.8010 302.4460} {576.8010 302.3860}} } 			error
2	Off-grid	basic	M1	{123.7610 586.1910} {123.8710 586.2510}	123.8160,586.2210	eco_net_408_ZBUF_2_3107	{ polygons {{123.7610 586.1910} {123.7610 586.2510} {123.8710 586.2510} {123.8710 586.1910}} } 			error
3	Off-grid	basic	M1	{491.4490 594.0030} {491.5590 594.0630}	491.5040,594.0330	eco_net_388_n62459	{ polygons {{491.4490 594.0030} {491.4490 594.0630} {491.5590 594.0630} {491.5590 594.0030}} } 			error
4	Off-grid	basic	M1	{427.4570 901.8740} {427.5670 901.9340}	427.5120,901.9040	n29543	{ polygons {{427.4570 901.8740} {427.4570 901.9340} {427.5670 901.9340} {427.5670 901.8740}} } 			error
5	Short	short	M1	{444.8200 908.5170} {444.9700 908.6670}	444.8950,908.5920	ZBUF_1061_3123,eco_net_1843_ZBUF_497_2036	{ polygons {{444.8200 908.5170} {444.8200 908.6670} {444.9700 908.6670} {444.9700 908.5170}} } 			error
6	Short	short	M1	{444.8200 908.5120} {444.9450 908.6720}	444.8825,908.5920	ZBUF_1061_3123,eco_net_1843_ZBUF_497_2036	{ polygons {{444.8200 908.5120} {444.8200 908.6720} {444.9450 908.6720} {444.9450 908.5120}} } 			error
7	Short	short	M1	{444.6130 909.1200} {444.7630 909.2800}	444.6880,909.2000	eco_net_1843_ZBUF_497_2036,VDD	{ polygons {{444.6130 909.1200} {444.6130 909.2800} {444.7630 909.2800} {444.7630 909.1200}} } 			error
8	Short	short	M1	{444.7650 908.9680} {444.9150 909.1280}	444.8400,909.0480	ZBUF_462_2754,eco_net_1843_ZBUF_497_2036	{ polygons {{444.7650 908.9680} {444.7650 909.1280} {444.9150 909.1280} {444.9150 908.9680}} } 			error
9	Short	short	M1	{418.0130 932.2240} {418.1630 932.5310}	418.0880,932.3775	n61720,VDD	{ polygons {{418.0130 932.2240} {418.0130 932.5310} {418.1630 932.5310} {418.1630 932.2240}} } 			error
10	Short	short	M1	{418.1650 932.3810} {418.3150 932.5310}	418.2400,932.4560	n61720,eco_net_1850_ZBUF_468_2753	{ polygons {{418.1650 932.3810} {418.1650 932.5310} {418.3150 932.5310} {418.3150 932.3810}} } 			error
11	Short	short	M1	{262.1110 1186.8740} {262.1610 1186.9340}	262.1360,1186.9040	eco_net_283_ZBUF_28_3076	{ polygons {{262.1110 1186.8740} {262.1110 1186.9340} {262.1610 1186.9340} {262.1610 1186.8740}} } 			error
12	Short	short	M1	{262.8210 1186.3680} {262.9710 1186.5280}	262.8960,1186.4480	ZBUF_808_1193,eco_net_283_ZBUF_28_3076	{ polygons {{262.8210 1186.3680} {262.8210 1186.5280} {262.9710 1186.5280} {262.9710 1186.3680}} } 			error
13	End of line enclosure	basic	M1,CO	{406.9360 1181.7110} {407.0130 1181.7610}	406.9745,1181.7360	eco_net_247_ZBUF_5_2057,VSS	{ polygons {{406.9360 1181.7110} {406.9360 1181.7610} {407.0130 1181.7610} {407.0130 1181.7110}} } 			error
14	Short	short	M1	{406.9170 1181.6610} {407.0670 1181.8110}	406.9920,1181.7360	eco_net_247_ZBUF_5_2057,VSS	{ polygons {{406.9170 1181.6610} {406.9170 1181.8110} {407.0670 1181.8110} {407.0670 1181.6610}} } 			error
15	Less than minimum enclosed area	basic	M1	{407.1680 1181.5020} {407.4240 1181.7120}	407.2960,1181.6070	eco_net_247_ZBUF_5_2057	{ polygons {{407.1680 1181.5020} {407.1680 1181.7120} {407.4240 1181.7120} {407.4240 1181.5020}} } 			error
16	Less than minimum enclosed area	basic	M1	{407.4720 1181.5020} {407.7280 1181.7120}	407.6000,1181.6070	eco_net_247_ZBUF_5_2057	{ polygons {{407.4720 1181.5020} {407.4720 1181.7120} {407.7280 1181.7120} {407.7280 1181.5020}} } 			error
17	Short	short	M1	{407.5250 1181.6610} {407.6750 1181.8110}	407.6000,1181.7360	eco_net_247_ZBUF_5_2057,VSS	{ polygons {{407.5250 1181.6610} {407.5250 1181.8110} {407.6750 1181.8110} {407.6750 1181.6610}} } 			error
18	Short	short	M1	{407.2210 1181.6610} {407.3710 1181.8110}	407.2960,1181.7360	eco_net_247_ZBUF_5_2057,VSS	{ polygons {{407.2210 1181.6610} {407.2210 1181.8110} {407.3710 1181.8110} {407.3710 1181.6610}} } 			error
