label	error_idx	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
drc_error	1	0	0	drc_error		{294.9430 646.3670} {295.0670 646.4490}	NA	NA	NA	NA	NA	NA
drc_object	1	1	n68003	net		{282.2970 641.0170} {295.1750 646.8830}						
near_cell	1	1	U66946	cell		{292.7250 646.9700} {294.1710 648.7730}		NAND4X0_RVT	_sel13			
near_cell	1	2	U67177	cell		{294.2450 643.6260} {295.6910 645.4290}		NAND4X0_RVT	_sel14			
near_cell	1	3	U67521	cell		{296.5250 645.2270} {297.9710 647.0300}		NAND4X0_RVT	_sel15			
near_cell	1	4	U122462	cell		{295.3090 646.9700} {296.4510 648.7730}		INVX2_RVT	_sel16			
near_cell	1	5	U_4_PTECO_DRC_BUF1811	cell		{295.4610 643.6260} {296.9070 645.4290}		NBUFFX2_RVT	_sel17			
near_cell	1	6	U_4_PTECO_DRC_BUF1432	cell		{292.2690 645.2270} {293.7150 647.0300}		NBUFFX2_RVT	_sel18			
near_cell	1	7	U_7_PTECO_DRC_BUF6	cell		{293.9410 646.9700} {295.3870 648.7730}		NBUFFX2_RVT	_sel19			
near_pin	1	1	U67529/A1	pin	M1 CO	{294.4570 645.8810} {294.6290 645.9910}	n68031					
near_pin	1	2	U67529/Y	pin	M1 CO	{294.9430 645.4430} {295.1750 646.8830}	n68003					
near_pin	1	3	U67529/VDD	pin	M1 CO	{293.7520 645.2980} {295.2720 646.1690}	VDD					
near_pin	1	4	U67529/VSS	pin	M1 CO	{293.7520 646.5120} {295.2720 647.0300}	VSS					
near_shape	1	1	PATH_23_698	shape	M7	{288.1000 646.2120} {302.7480 646.2680}	n67696			detail_route		n67696
near_shape	1	2	PATH_19_6846	shape	M5	{288.1000 646.2120} {315.8200 646.2680}	n68094			detail_route		n68094
near_shape	1	3	PATH_19_6881	shape	M5	{290.5320 646.8200} {313.9960 646.8760}	n68088			detail_route		n68088
near_shape	1	4	PATH_17_18670	shape	M4	{295.0920 639.5240} {295.1480 658.4280}	n67995			detail_route		n67995
near_shape	1	5	PATH_21_26887	shape	M6	{294.7880 644.3880} {294.8440 659.6440}	eco_net_1467_n22608			detail_route		eco_net_1467_n22608
near_shape	1	6	PATH_17_65706	shape	M4	{294.4840 646.2120} {294.5400 648.7000}	n140856			detail_route		n140856
near_shape	1	7	PATH_11_149710	shape	M1	{295.3940 646.2100} {295.6080 646.2700}	eco_net_219_n142165			detail_route		eco_net_219_n142165
near_shape	1	8	PATH_17_186435	shape	M4	{294.7880 643.1720} {294.8440 656.3000}	ZBUF_2269_3200			detail_route		ZBUF_2269_3200
near_shape	1	9	PATH_17_215602	shape	M4	{295.3960 644.9960} {295.4520 645.9640}	eco_net_681_n67828			detail_route		eco_net_681_n67828
near_shape	1	10	PATH_15_380825	shape	M3	{294.3300 646.2100} {294.5420 646.2700}	n140856			detail_route		n140856
near_shape	1	11	PATH_15_380827	shape	M3	{294.4840 646.2120} {297.4280 646.2680}	n140856			detail_route		n140856
near_shape	1	12	PATH_13_486919	shape	M2	{294.9400 641.0440} {294.9960 655.5400}	n67881			detail_route		n67881
near_shape	1	13	PATH_13_488265	shape	M2	{294.7880 645.1480} {294.8440 646.4200}	n68003			detail_route		n68003
near_shape	1	14	PATH_13_488407	shape	M2	{294.3320 645.9080} {294.5400 645.9640}	n68031			detail_route		n68031
near_shape	1	15	PATH_13_488443	shape	M2	{294.4840 645.9080} {294.5400 650.6760}	n68031			detail_route		n68031
near_shape	1	16	PATH_15_708601	shape	M3	{294.0280 646.5160} {296.0600 646.5720}	ZBUF_3191_3482			detail_route		ZBUF_3191_3482
near_shape	1	17	PATH_15_758220	shape	M3	{294.1800 646.8200} {297.2760 646.8760}	eco_net_642_n68350			detail_route		eco_net_642_n68350
near_shape	1	18	PATH_15_758265	shape	M3	{294.0280 645.9080} {295.4520 645.9640}	eco_net_681_n67828			detail_route		eco_net_681_n67828
near_shape	1	19	PATH_13_764534	shape	M2	{295.0920 644.9960} {295.1480 647.1800}	n140859			detail_route		n140859
near_shape	1	20	PATH_13_1289435	shape	M2	{295.3960 646.2120} {295.4520 647.4840}	eco_net_219_n142165			detail_route		eco_net_219_n142165
near_shape	1	21	PATH_13_1291175	shape	M2	{295.3960 645.7560} {295.4520 646.2680}	eco_net_219_n142165			detail_route		eco_net_219_n142165
near_shape	1	22	PATH_13_1340550	shape	M2	{295.2440 643.9320} {295.3000 647.3320}	eco_net_4_n142326			detail_route		eco_net_4_n142326
near_via	1	1	VIA_S_750536	via		{294.4570 645.8810} {294.5670 645.9910}	n68031			detail_route	VIA12SQ_C	n68031
near_via	1	2	VIA_S_1221325	via		{294.4570 646.1850} {294.5670 646.2950}	n140856			detail_route	VIA34SQ_C	n140856
near_via	1	3	VIA_S_2278231	via		{295.3690 645.8810} {295.4790 645.9910}	eco_net_681_n67828			detail_route	VIA34SQ_C	eco_net_681_n67828
drc_error	2	0	3	drc_error		{297.2230 957.2120} {297.3650 957.2620}	NA	NA	NA	NA	NA	NA
drc_object	2	1	n87923	net		{281.2330 954.7930} {297.4550 957.2870}						
near_cell	2	1	U86865	cell		{294.7010 957.9620} {296.4510 959.7650}		AND4X1_RVT	_sel84			
near_cell	2	2	U87103	cell		{297.4370 957.9620} {298.8730 959.7650}		AND2X1_RVT	_sel85			
near_cell	2	3	U87140	cell		{298.6530 957.9620} {299.6430 959.7650}		INVX1_RVT	_sel86			
near_cell	2	4	ZBUF_17_inst_9659	cell		{297.2850 954.6180} {300.5550 956.4210}		DELLN1X2_RVT	_sel87			
near_cell	2	5	U_4_PTECO_DRC_BUF982	cell		{295.4610 954.6180} {296.9070 956.4210}		NBUFFX2_RVT	_sel88			
near_pin	2	1	U87199/A4	pin	M1 CO	{296.7370 956.8730} {296.9090 957.1000}	n87924					
near_pin	2	2	U87199/Y	pin	M1 CO	{297.6490 956.4260} {297.7790 957.8460}	n87934					
near_pin	2	3	U87199/VDD	pin	M1 CO	{296.1840 956.2900} {298.0080 957.2440}	VDD					
near_pin	2	4	U87199/VSS	pin	M1 CO	{296.1840 957.5080} {298.0080 958.0220}	VSS					
near_shape	2	1	PATH_25_832	shape	M8	{297.2200 882.1160} {297.2760 1023.2280}	ZBUF_673_2059			detail_route		ZBUF_673_2059
near_shape	2	2	PATH_23_3827	shape	M7	{273.5080 957.5080} {339.2280 957.5640}	ZBUF_17_155			detail_route		ZBUF_17_155
near_shape	2	3	PATH_21_8554	shape	M6	{297.2200 924.6760} {297.2760 962.4280}	n141596			detail_route		n141596
near_shape	2	4	PATH_19_20646	shape	M5	{292.3560 957.5080} {301.5320 957.5640}	n136404			detail_route		n136404
near_shape	2	5	PATH_11_74029	shape	M1	{296.7670 956.7510} {296.8170 956.9530}	n87924			detail_route		n87924
near_shape	2	6	PATH_19_91375	shape	M5	{285.6680 956.9000} {352.6040 956.9560}	ZBUF_9_3230			detail_route		ZBUF_9_3230
near_shape	2	7	PATH_17_150521	shape	M4	{296.9160 931.9720} {296.9720 986.1400}	ZBUF_2_1610			detail_route		ZBUF_2_1610
near_shape	2	8	PATH_15_234057	shape	M3	{295.7000 957.5080} {298.6440 957.5640}	n87831			detail_route		n87831
near_shape	2	9	PATH_15_234110	shape	M3	{281.2600 956.9000} {297.4280 956.9560}	n87923			detail_route		n87923
near_shape	2	10	PATH_15_373253	shape	M3	{270.3160 957.2040} {314.4520 957.2600}	n139433			detail_route		n139433
near_shape	2	11	PATH_13_495306	shape	M2	{296.7640 954.4680} {296.8200 956.8040}	n87924			detail_route		n87924
near_shape	2	12	PATH_13_713440	shape	M2	{297.5240 953.8600} {297.5800 970.9400}	n136916			detail_route		n136916
near_shape	2	13	PATH_13_894716	shape	M2	{297.6760 951.7320} {297.7320 958.7800}	ZBUF_950_126			detail_route		ZBUF_950_126
near_shape	2	14	PATH_13_944736	shape	M2	{296.7640 956.9000} {296.8200 958.9320}	ZBUF_596_1103			detail_route		ZBUF_596_1103
near_shape	2	15	PATH_13_944737	shape	M2	{296.7640 956.9000} {296.9720 956.9560}	ZBUF_596_1103			detail_route		ZBUF_596_1103
near_shape	2	16	PATH_13_944738	shape	M2	{296.9160 938.8120} {296.9720 956.9560}	ZBUF_596_1103			detail_route		ZBUF_596_1103
near_shape	2	17	PATH_13_1102326	shape	M2	{297.0680 955.3800} {297.1240 962.1240}	ZBUF_104_2917			detail_route		ZBUF_104_2917
near_shape	2	18	PATH_13_1338756	shape	M2	{297.2200 953.8600} {297.2760 959.0840}	eco_net_832_ZBUF_1901_3000			detail_route		eco_net_832_ZBUF_1901_3000
near_via	2	1	VIA_S_766728	via		{296.7370 956.7210} {296.8470 956.8310}	n87924			detail_route	VIA12SQ_C	n87924
