label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
cell	U67529	cell	{293.6370 645.2270} {295.3870 647.0300}	AND4X1_RVT	_sel6	293.7520 647.0000	MX	placed					
cell_pin	U67529/A1	pin	{294.4570 645.8810} {294.6290 645.9910}					placed	M1 CO	n68031			cell=U67529
cell_pin	U67529/A2	pin	{294.3050 646.1850} {294.4770 646.2950}					placed	M1 CO	n140856			cell=U67529
cell_pin	U67529/A3	pin	{294.1530 645.8810} {294.3250 645.9910}					placed	M1 CO	eco_net_642_n68350			cell=U67529
cell_pin	U67529/A4	pin	{294.0010 646.1850} {294.1730 646.2950}					placed	M1 CO	ZBUF_3191_3482			cell=U67529
cell_pin	U67529/Y	pin	{294.9430 645.4430} {295.1750 646.8830}					placed	M1 CO	n68003			cell=U67529
cell_pin	U67529/VDD	pin	{293.7520 645.2980} {295.2720 646.1690}					placed	M1 CO	VDD			cell=U67529
cell_pin	U67529/VSS	pin	{293.7520 646.5120} {295.2720 647.0300}					placed	M1 CO	VSS			cell=U67529
near_cell	U66946	cell	{292.7250 646.9700} {294.1710 648.7730}	NAND4X0_RVT	_sel18	292.8400 647.0000	R0	placed					target_cell=U67529
near_cell	U67177	cell	{294.2450 643.6260} {295.6910 645.4290}	NAND4X0_RVT	_sel19	294.3600 643.6560	R0	placed					target_cell=U67529
near_cell	U67377	cell	{291.5090 643.6260} {292.9550 645.4290}	NAND4X0_RVT	_sel20	291.6240 643.6560	R0	placed					target_cell=U67529
near_cell	U122462	cell	{295.3090 646.9700} {296.4510 648.7730}	INVX2_RVT	_sel21	295.4240 647.0000	R0	placed					target_cell=U67529
near_cell	U_4_PTECO_DRC_BUF206	cell	{295.1570 645.2270} {296.6030 647.0300}	NBUFFX2_RVT	_sel22	295.2720 647.0000	MX	placed					target_cell=U67529
near_cell	U_4_PTECO_DRC_BUF1811	cell	{295.4610 643.6260} {296.9070 645.4290}	NBUFFX2_RVT	_sel23	295.5760 643.6560	R0	placed					target_cell=U67529
near_cell	U_4_PTECO_DRC_BUF1432	cell	{292.2690 645.2270} {293.7150 647.0300}	NBUFFX2_RVT	_sel24	292.3840 647.0000	MX	placed					target_cell=U67529
near_cell	U_7_PTECO_DRC_BUF6	cell	{293.9410 646.9700} {295.3870 648.7730}	NBUFFX2_RVT	_sel25	294.0560 647.0000	R0	placed					target_cell=U67529
near_pin	U66946/Y	pin	{293.1190 647.1210} {293.8170 648.5510}					placed	M1 CO	n67515			target_cell=U67529
near_pin	U67177/A2	pin	{294.9130 644.3610} {295.0850 644.4710}					placed	M1 CO	n67626			target_cell=U67529
near_pin	U67177/A4	pin	{294.6090 644.3610} {294.7810 644.4710}					placed	M1 CO	eco_net_47_ZBUF_129_3333			target_cell=U67529
near_pin	U67177/Y	pin	{294.6390 643.7770} {295.3370 645.2070}					placed	M1 CO	n67640			target_cell=U67529
near_pin	U67377/VDD	pin	{291.6240 644.8490} {292.8400 645.3580}					placed	M1 CO	VDD			target_cell=U67529
near_pin	U122462/Y	pin	{295.7030 647.1160} {296.2390 648.5640}					placed	M1 CO	n140859			target_cell=U67529
near_pin	U122462/VSS	pin	{295.4240 646.9700} {296.3360 647.4100}					placed	M1 CO	VSS			target_cell=U67529
near_pin	U_4_PTECO_DRC_BUF206/Y	pin	{295.8550 645.4360} {296.3910 646.8840}					placed	M1 CO	eco_net_218_n142165			target_cell=U67529
near_pin	U_4_PTECO_DRC_BUF206/VDD	pin	{295.2720 645.2980} {296.4880 646.0900}					placed	M1 CO	VDD			target_cell=U67529
near_pin	U_4_PTECO_DRC_BUF206/VSS	pin	{295.2720 646.4330} {296.4880 647.0300}					placed	M1 CO	VSS			target_cell=U67529
near_pin	U_4_PTECO_DRC_BUF1811/A	pin	{295.8250 644.3310} {295.9970 644.4710}					placed	M1 CO	eco_net_46_n142165			target_cell=U67529
near_pin	U_4_PTECO_DRC_BUF1811/Y	pin	{296.1590 643.7720} {296.6950 645.2200}					placed	M1 CO	eco_net_219_n142165			target_cell=U67529
near_pin	U_4_PTECO_DRC_BUF1811/VDD	pin	{295.5760 644.5660} {296.7920 645.3580}					placed	M1 CO	VDD			target_cell=U67529
near_pin	U_4_PTECO_DRC_BUF1432/VDD	pin	{292.3840 645.2980} {293.6000 646.0900}					placed	M1 CO	VDD			target_cell=U67529
near_pin	U_4_PTECO_DRC_BUF1432/VSS	pin	{292.3840 646.4330} {293.6000 647.0300}					placed	M1 CO	VSS			target_cell=U67529
near_pin	U_7_PTECO_DRC_BUF6/Y	pin	{294.6390 647.1160} {295.1750 648.5640}					placed	M1 CO	eco_net_4_n142326			target_cell=U67529
near_shape	PATH_23_42	shape	{13.0000 647.5000} {1196.3360 648.5000}					unrestricted	M7	VDD	stripe		target_cell=U67529
near_shape	PATH_11_374	shape	{20.0000 645.2980} {1189.3360 645.3580}					unrestricted	M1	VDD	lib_cell_pin_connect		target_cell=U67529
near_shape	PATH_11_375	shape	{20.0000 646.9700} {1189.3360 647.0300}					unrestricted	M1	VSS	lib_cell_pin_connect		target_cell=U67529
near_shape	PATH_25_404	shape	{296.0040 634.0520} {296.0600 705.8520}					unrestricted	M8	ZBUF_78_100	detail_route		target_cell=U67529
near_shape	PATH_23_698	shape	{288.1000 646.2120} {302.7480 646.2680}					unrestricted	M7	n67696	detail_route		target_cell=U67529
near_shape	PATH_23_815	shape	{285.0600 644.9960} {303.9640 645.0520}					unrestricted	M7	n68062	detail_route		target_cell=U67529
near_shape	PATH_21_849	shape	{293.5720 644.9960} {293.6280 652.3480}					unrestricted	M6	n22608	detail_route		target_cell=U67529
near_shape	PATH_21_1784	shape	{296.0040 643.7800} {296.0600 665.7240}					unrestricted	M6	n68351	detail_route		target_cell=U67529
near_shape	PATH_19_2902	shape	{292.0520 644.9960} {293.6280 645.0520}					unrestricted	M5	n22608	detail_route		target_cell=U67529
