id	type_name	error_class	layers	bbox	center	objects	shape	brief_info	verbose_info	status
0	Diff net spacing	basic	M1	{294.1030 739.7920} {294.1860 739.9520}	294.1445,739.8720	n41768,eco_net_24_eco_net_685_n23051	{ polygons {{294.1030 739.7920} {294.1030 739.9520} {294.1860 739.9520} {294.1860 739.7920}} } 			error
1	Less than minimum enclosed area	basic	M1	{293.7760 739.1360} {294.0320 739.6910}	293.9040,739.4135	eco_net_24_eco_net_685_n23051	{ polygons {{293.7760 739.1360} {293.7760 739.6910} {294.0320 739.6910} {294.0320 739.1360}} } 			error
2	Short	short	M1	{293.8290 739.0370} {293.9790 739.1870}	293.9040,739.1120	eco_net_24_eco_net_685_n23051,VDD	{ polygons {{293.8290 739.0370} {293.8290 739.1870} {293.9790 739.1870} {293.9790 739.0370}} } 			error
3	Diff net spacing	basic	M1	{400.3810 1102.1600} {400.5310 1102.2440}	400.4560,1102.2020	ZBUF_1533_3000,VSS	{ polygons {{400.3810 1102.1600} {400.3810 1102.2440} {400.5310 1102.2440} {400.5310 1102.1600}} } 			error
4	Short	short	M1	{400.5330 1103.2240} {400.6830 1103.3840}	400.6080,1103.3040	n23186,eco_net_38_ZBUF_1533_3000	{ polygons {{400.5330 1103.2240} {400.5330 1103.3840} {400.6830 1103.3840} {400.6830 1103.2240}} } 			error
5	Short	short	M1	{400.5330 1102.0080} {400.6830 1102.1680}	400.6080,1102.0880	n23133,eco_net_38_ZBUF_1533_3000	{ polygons {{400.5330 1102.0080} {400.5330 1102.1680} {400.6830 1102.1680} {400.6830 1102.0080}} } 			error
6	Less than minimum enclosed area	basic	M1	{400.3280 1102.7250} {400.5840 1102.8240}	400.4560,1102.7745	eco_net_38_ZBUF_1533_3000	{ polygons {{400.3280 1102.7250} {400.3280 1102.8240} {400.5840 1102.8240} {400.5840 1102.7250}} } 			error
7	Short	short	M1	{400.5880 1102.4640} {400.7130 1102.6240}	400.6505,1102.5440	n139239,eco_net_38_ZBUF_1533_3000	{ polygons {{400.5880 1102.4640} {400.5880 1102.6240} {400.7130 1102.6240} {400.7130 1102.4640}} } 			error
8	Short	short	M1	{400.5880 1102.4690} {400.7380 1102.6190}	400.6630,1102.5440	n139239,eco_net_38_ZBUF_1533_3000	{ polygons {{400.5880 1102.4690} {400.5880 1102.6190} {400.7380 1102.6190} {400.7380 1102.4690}} } 			error
9	Short	short	M1	{400.3810 1102.7730} {400.5310 1102.9230}	400.4560,1102.8480	eco_net_38_ZBUF_1533_3000,VDD	{ polygons {{400.3810 1102.7730} {400.3810 1102.9230} {400.5310 1102.9230} {400.5310 1102.7730}} } 			error
10	Short	short	M1	{400.5330 1102.1650} {400.6830 1102.3150}	400.6080,1102.2400	ZBUF_1533_3000,eco_net_38_ZBUF_1533_3000	{ polygons {{400.5330 1102.1650} {400.5330 1102.3150} {400.6830 1102.3150} {400.6830 1102.1650}} } 			error
