id	type_name	error_class	layers	bbox	center	objects	shape	brief_info	verbose_info	status
0	Off-grid	basic	M1	{247.6410 689.8550} {247.7510 689.9150}	247.6960,689.8850	ZBUF_42_3168	{ polygons {{247.6410 689.8550} {247.6410 689.9150} {247.7510 689.9150} {247.7510 689.8550}} } 			error
1	Less than minimum area	basic	M1	{247.6410 689.8550} {247.7510 689.9150}	247.6960,689.8850	ZBUF_42_3168	{ polygons {{247.6410 689.8550} {247.6410 689.9150} {247.7510 689.9150} {247.7510 689.8550}} } 			error
2	Less than minimum area	basic	M1	{244.9300 689.6570} {244.9900 689.7670}	244.9600,689.7120	ZBUF_57_3168	{ polygons {{244.9300 689.6570} {244.9300 689.7670} {244.9900 689.7670} {244.9900 689.6570}} } 			error
3	Less than minimum area	basic	M1	{107.1930 917.0740} {107.3030 917.1340}	107.2480,917.1040	ZBUF_321_1058	{ polygons {{107.1930 917.0740} {107.1930 917.1340} {107.3030 917.1340} {107.3030 917.0740}} } 			error
4	Less than minimum area	basic	M1	{165.7130 916.3140} {165.8230 916.3740}	165.7680,916.3440	ZBUF_39_74	{ polygons {{165.7130 916.3140} {165.7130 916.3740} {165.8230 916.3740} {165.8230 916.3140}} } 			error
5	Less than minimum area	basic	M1	{251.1370 960.3940} {251.2470 960.4540}	251.1920,960.4240	n48128	{ polygons {{251.1370 960.3940} {251.1370 960.4540} {251.2470 960.4540} {251.2470 960.3940}} } 			error
6	Less than minimum area	basic	M1	{248.7050 960.6980} {248.8150 960.7580}	248.7600,960.7280	ZBUF_2020_157	{ polygons {{248.7050 960.6980} {248.7050 960.7580} {248.8150 960.7580} {248.8150 960.6980}} } 			error
7	Less than minimum area	basic	M3	{248.7050 964.1940} {248.8150 964.2540}	248.7600,964.2240	ZBUF_2020_157	{ polygons {{248.7050 964.1940} {248.7050 964.2540} {248.8150 964.2540} {248.8150 964.1940}} } 			error
8	Less than minimum area	basic	M1	{261.7770 959.7860} {261.8870 959.8460}	261.8320,959.8160	n20458	{ polygons {{261.7770 959.7860} {261.7770 959.8460} {261.8870 959.8460} {261.8870 959.7860}} } 			error
9	Less than minimum area	basic	M1	{260.4090 959.1780} {260.5190 959.2380}	260.4640,959.2080	n132754	{ polygons {{260.4090 959.1780} {260.4090 959.2380} {260.5190 959.2380} {260.5190 959.1780}} } 			error
10	Less than minimum area	basic	M1	{261.3210 958.7220} {261.4310 958.7820}	261.3760,958.7520	eco_net_1400_ZBUF_194_2916	{ polygons {{261.3210 958.7220} {261.3210 958.7820} {261.4310 958.7820} {261.4310 958.7220}} } 			error
11	Less than minimum area	basic	M2	{261.3460 958.6970} {261.4060 958.8070}	261.3760,958.7520	eco_net_1400_ZBUF_194_2916	{ polygons {{261.3460 958.6970} {261.3460 958.8070} {261.4060 958.8070} {261.4060 958.6970}} } 			error
