label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
cell	U109080	cell	{277.5250 1021.4980} {280.0350 1023.3010}	NBUFFX8_RVT	_sel6	279.9200 1021.5280	MY	placed					
cell_pin	U109080/A	pin	{279.3320 1022.1880} {279.6710 1022.3430}					placed	M1 CO	ZBUF_32_2750			cell=U109080
cell_pin	U109080/Y	pin	{277.7370 1021.6440} {279.1850 1023.0930}					placed	M1 CO	n138441			cell=U109080
cell_pin	U109080/VDD	pin	{277.6400 1022.5200} {279.9200 1023.2300}					placed	M1 CO	VDD			cell=U109080
cell_pin	U109080/VSS	pin	{277.6400 1021.4980} {279.9200 1021.9380}					placed	M1 CO	VSS			cell=U109080
near_cell	U43592	cell	{274.6370 1026.4430} {276.0730 1028.2460}	AND2X1_RVT	_sel15	274.7520 1028.2160	MX	placed					target_cell=U109080
near_cell	U43594	cell	{283.6050 1019.7550} {285.8110 1021.5580}	AO222X1_RVT	_sel16	283.7200 1021.5280	MX	placed					target_cell=U109080
near_cell	U43622	cell	{277.8290 1016.4110} {279.2750 1018.2140}	NAND4X0_RVT	_sel17	277.9440 1018.1840	MX	placed					target_cell=U109080
near_cell	U43637	cell	{281.6290 1026.4430} {283.6830 1028.2460}	NOR4X1_RVT	_sel18	281.7440 1028.2160	MX	placed					target_cell=U109080
near_cell	U43720	cell	{272.5090 1019.7550} {273.9550 1021.5580}	NAND4X0_RVT	_sel19	272.6240 1021.5280	MX	placed					target_cell=U109080
near_cell	U43749	cell	{283.9090 1026.4430} {285.5070 1028.2460}	AND3X1_RVT	_sel20	284.0240 1028.2160	MX	placed					target_cell=U109080
near_cell	U44595	cell	{276.7650 1026.4430} {278.2110 1028.2460}	NAND4X0_RVT	_sel21	276.8800 1028.2160	MX	placed					target_cell=U109080
near_cell	U44672	cell	{282.9970 1023.0990} {284.4430 1024.9020}	NAND4X0_RVT	_sel22	283.1120 1024.8720	MX	placed					target_cell=U109080
near_cell	U44697	cell	{273.1170 1018.1540} {274.5630 1019.9570}	NAND4X0_RVT	_sel23	273.2320 1018.1840	R0	placed					target_cell=U109080
near_cell	U43730	cell	{279.3490 1026.4430} {280.9470 1028.2460}	AND2X2_RVT	_sel24	280.8320 1028.2160	R180	placed					target_cell=U109080
near_cell	U104466	cell	{273.2720 1023.0990} {275.0190 1024.9020}	NBUFFX4_RVT	_sel25	273.3840 1024.8720	MX	placed					target_cell=U109080
near_cell	U33360	cell	{275.2450 1016.4110} {276.8430 1018.2140}	OR2X1_RVT	_sel26	275.3600 1018.1840	MX	placed					target_cell=U109080
near_cell	U111635	cell	{272.3570 1026.4430} {274.8670 1028.2460}	NBUFFX8_RVT	_sel27	272.4720 1028.2160	MX	placed					target_cell=U109080
near_cell	U121368	cell	{281.4770 1016.4110} {283.9870 1018.2140}	NBUFFX8_RVT	_sel28	281.5920 1018.1840	MX	placed					target_cell=U109080
near_cell	U106669	cell	{272.5090 1024.8420} {275.7790 1026.6450}	DELLN1X2_RVT	_sel29	272.6240 1024.8720	R0	placed					target_cell=U109080
near_cell	U31501	cell	{272.3570 1021.4980} {273.9550 1023.3010}	OR2X2_RVT	_sel30	272.4720 1021.5280	R0	placed					target_cell=U109080
near_cell	ZBUF_2692_inst_7705	cell	{273.7280 1016.4110} {275.4750 1018.2140}	NBUFFX4_RVT	_sel31	273.8400 1018.1840	MX	placed					target_cell=U109080
near_cell	U_4_PTECO_DRC_BUF145	cell	{279.0450 1016.4110} {281.5550 1018.2140}	NBUFFX8_RVT	_sel32	279.1600 1018.1840	MX	placed					target_cell=U109080
near_cell	U_4_PTECO_DRC_BUF662	cell	{277.9810 1026.4430} {279.4270 1028.2460}	NBUFFX2_RVT	_sel33	278.0960 1028.2160	MX	placed					target_cell=U109080
near_cell	U_4_PTECO_DRC_BUF1634	cell	{276.6130 1016.4110} {278.0590 1018.2140}	NBUFFX2_RVT	_sel34	276.7280 1018.1840	MX	placed					target_cell=U109080
near_pin	U43592/A1	pin	{275.1530 1027.2490} {275.3250 1027.3590}					placed	M1 CO	n43805			target_cell=U109080
near_pin	U43592/Y	pin	{275.6390 1026.6570} {275.8710 1028.0990}					placed	M1 CO	n43806			target_cell=U109080
near_pin	U43592/VDD	pin	{274.7520 1026.5140} {275.9680 1027.3230}					placed	M1 CO	VDD			target_cell=U109080
near_pin	U43594/A1	pin	{283.9670 1020.5610} {284.1410 1020.6710}					placed	M1 CO	ZBUF_481_2171			target_cell=U109080
near_pin	U43594/VDD	pin	{283.7200 1019.8260} {285.6960 1020.5040}					placed	M1 CO	VDD			target_cell=U109080
near_pin	U43594/VSS	pin	{283.7200 1021.0440} {285.6960 1021.5580}					placed	M1 CO	VSS			target_cell=U109080
near_pin	U43622/Y	pin	{278.2230 1016.6330} {278.9210 1018.0630}					placed	M1 CO	n43821			target_cell=U109080
near_pin	U43637/A2	pin	{282.1450 1027.2490} {282.3010 1027.5710}					placed	M1 CO	n43829			target_cell=U109080
near_pin	U43637/A3	pin	{282.2970 1027.0970} {282.4630 1027.5710}					placed	M1 CO	n138540			target_cell=U109080
near_pin	U43637/Y	pin	{283.2390 1026.6850} {283.4710 1028.0880}					placed	M1 CO	n44833			target_cell=U109080
near_pin	U43637/VDD	pin	{281.7440 1026.5140} {283.5680 1027.3060}					placed	M1 CO	VDD			target_cell=U109080
near_pin	U43720/Y	pin	{272.9030 1019.9770} {273.6010 1021.4070}					placed	M1 CO	n43902			target_cell=U109080
near_pin	U43720/VDD	pin	{272.6240 1019.8260} {273.8400 1020.3350}					placed	M1 CO	VDD			target_cell=U109080
near_pin	U43720/VSS	pin	{272.6240 1020.9570} {273.8400 1021.5580}					placed	M1 CO	VSS			target_cell=U109080
near_pin	U43749/VDD	pin	{284.0240 1026.5140} {285.3920 1027.3980}					placed	M1 CO	VDD			target_cell=U109080
near_pin	U44595/A1	pin	{277.5850 1027.2490} {277.7570 1027.3590}					placed	M1 CO	n139903			target_cell=U109080
near_pin	U44595/A3	pin	{277.2810 1027.2490} {277.4530 1027.3590}					placed	M1 CO	ZBUF_644_3427			target_cell=U109080
near_pin	U44595/Y	pin	{277.1590 1026.6650} {277.8570 1028.0950}					placed	M1 CO	n44781			target_cell=U109080
near_pin	U44672/Y	pin	{283.3910 1023.3210} {284.0890 1024.7510}					placed	M1 CO	n44895			target_cell=U109080
near_pin	U44672/VDD	pin	{283.1120 1023.1700} {284.3280 1023.6790}					placed	M1 CO	VDD			target_cell=U109080
near_pin	U44672/VSS	pin	{283.1120 1024.3010} {284.3280 1024.9020}					placed	M1 CO	VSS			target_cell=U109080
near_pin	U44697/A4	pin	{273.4810 1018.8890} {273.6530 1018.9990}					placed	M1 CO	n44936			target_cell=U109080
near_pin	U44697/Y	pin	{273.5110 1018.3050} {274.2090 1019.7350}					placed	M1 CO	n44939			target_cell=U109080
near_pin	U44697/VDD	pin	{273.2320 1019.3770} {274.4480 1019.8860}					placed	M1 CO	VDD			target_cell=U109080
near_pin	U44697/VSS	pin	{273.2320 1018.1540} {274.4480 1018.7550}					placed	M1 CO	VSS			target_cell=U109080
near_pin	U43730/A1	pin	{280.2590 1027.2490} {280.4310 1027.3590}					placed	M1 CO	n138302			target_cell=U109080
near_pin	U43730/Y	pin	{279.5610 1026.6720} {280.0970 1028.0860}					placed	M1 CO	n44832			target_cell=U109080
near_pin	U43730/VDD	pin	{279.4640 1026.5140} {280.8320 1027.3980}					placed	M1 CO	VDD			target_cell=U109080
near_pin	U104466/VDD	pin	{273.3840 1023.1700} {274.9040 1023.8850}					placed	M1 CO	VDD			target_cell=U109080
near_pin	U104466/VSS	pin	{273.3840 1024.4620} {274.9040 1024.9020}					placed	M1 CO	VSS			target_cell=U109080
near_pin	U33360/A1	pin	{275.6090 1017.2170} {275.7650 1017.5400}					placed	M1 CO	ZBUF_625_1601			target_cell=U109080
near_pin	U33360/A2	pin	{275.8650 1017.3690} {276.0230 1017.5420}					placed	M1 CO	ZBUF_151_2033			target_cell=U109080
near_pin	U33360/Y	pin	{276.2470 1016.6590} {276.6310 1017.9760}					placed	M1 CO	n33279			target_cell=U109080
near_pin	U111635/Y	pin	{273.2070 1026.6510} {274.6550 1028.1000}					placed	M1 CO	n138883			target_cell=U109080
near_pin	U111635/VDD	pin	{272.4720 1026.5140} {274.7520 1027.2240}					placed	M1 CO	VDD			target_cell=U109080
near_pin	U121368/A	pin	{281.8410 1017.3690} {282.1800 1017.5240}					placed	M1 CO	ZBUF_32_143			target_cell=U109080
near_pin	U121368/Y	pin	{282.3270 1016.6190} {283.7750 1018.0680}					placed	M1 CO	n140371			target_cell=U109080
