label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
cell	U122369	cell	{273.4210 675.3150} {275.1710 677.1260}	NAND2X1_RVT	_sel6	273.5360 677.0960	MX	placed					
cell_pin	U122369/A1	pin	{273.9920 676.1290} {274.1990 676.2390}					placed	M1 CO	eco_net_240_n132813			cell=U122369
cell_pin	U122369/A2	pin	{273.8400 676.2810} {274.0440 676.4320}					placed	M1 CO	eco_net_155_n140014			cell=U122369
cell_pin	U122369/Y	pin	{274.7270 675.5350} {274.9590 676.9820}					placed	M1 CO	n142093			cell=U122369
cell_pin	U122369/VDD	pin	{273.5360 675.3940} {275.0560 675.9130}					placed	M1 CO	VDD			cell=U122369
cell_pin	U122369/VSS	pin	{273.5360 676.6170} {275.0560 677.1260}					placed	M1 CO	VSS			cell=U122369
near_cell	U67370	cell	{276.1570 673.7220} {277.6030 675.5250}	NAND4X0_RVT	_sel16	276.2720 673.7520	R0	placed					target_cell=U122369
near_cell	U67388	cell	{274.4850 671.9790} {275.9310 673.7820}	NAND4X0_RVT	_sel17	274.6000 673.7520	MX	placed					target_cell=U122369
near_cell	U67446	cell	{275.7010 671.9790} {276.6910 673.7820}	INVX1_RVT	_sel18	275.8160 673.7520	MX	placed					target_cell=U122369
near_cell	U67451	cell	{276.4610 671.9790} {278.2110 673.7820}	AND4X1_RVT	_sel19	276.5760 673.7520	MX	placed					target_cell=U122369
near_cell	U67471	cell	{273.1170 671.9790} {274.7150 673.7820}	OR2X1_RVT	_sel20	273.2320 673.7520	MX	placed					target_cell=U122369
near_cell	U67476	cell	{276.4610 675.3230} {278.2110 677.1260}	AND4X1_RVT	_sel21	278.0960 677.0960	R180	placed					target_cell=U122369
near_cell	U123433	cell	{271.1410 677.0660} {272.8910 678.8770}	NAND2X1_RVT	_sel22	271.2560 677.0960	R0	placed					target_cell=U122369
near_cell	U117497	cell	{276.7650 678.6670} {277.9070 680.4700}	NAND2X0_RVT	_sel23	276.8800 680.4400	MX	placed					target_cell=U122369
near_cell	U67319	cell	{270.6850 673.7220} {272.1310 675.5250}	NAND4X0_RVT	_sel24	270.8000 673.7520	R0	placed					target_cell=U122369
near_cell	ZBUF_985_inst_6313	cell	{275.2480 678.6670} {276.9950 680.4700}	NBUFFX4_RVT	_sel25	275.3600 680.4400	MX	placed					target_cell=U122369
near_cell	ZBUF_5798_inst_12515	cell	{274.1810 677.0660} {277.4510 678.8690}	DELLN1X2_RVT	_sel26	274.2960 677.0960	R0	placed					target_cell=U122369
near_cell	ZBUF_538_inst_17286	cell	{272.2050 678.6670} {275.4750 680.4700}	DELLN1X2_RVT	_sel27	272.3200 680.4400	MX	placed					target_cell=U122369
near_cell	ZBUF_428_inst_19144	cell	{270.6880 678.6670} {272.4350 680.4700}	NBUFFX4_RVT	_sel28	270.8000 680.4400	MX	placed					target_cell=U122369
near_cell	ZBUF_1584_inst_25434	cell	{269.1650 675.3230} {272.4350 677.1260}	DELLN1X2_RVT	_sel29	269.2800 677.0960	MX	placed					target_cell=U122369
near_cell	ZBUF_88_inst_28190	cell	{270.0770 671.9790} {273.3470 673.7820}	DELLN1X2_RVT	_sel30	270.1920 673.7520	MX	placed					target_cell=U122369
near_pin	U67370/Y	pin	{276.5510 673.8730} {277.2490 675.3030}					placed	M1 CO	n67806			target_cell=U122369
near_pin	U67370/VDD	pin	{276.2720 674.9450} {277.4880 675.4540}					placed	M1 CO	VDD			target_cell=U122369
near_pin	U67370/VSS	pin	{276.2720 673.7220} {277.4880 674.3230}					placed	M1 CO	VSS			target_cell=U122369
near_pin	U67388/Y	pin	{274.8790 672.2010} {275.5770 673.6310}					placed	M1 CO	n67820			target_cell=U122369
near_pin	U67388/VSS	pin	{274.6000 673.1810} {275.8160 673.7820}					placed	M1 CO	VSS			target_cell=U122369
near_pin	U67446/Y	pin	{276.0950 672.1880} {276.4790 673.6360}					placed	M1 CO	n67907			target_cell=U122369
