label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
cell	U42174	cell	{227.8210 969.5950} {229.8950 971.3980}	NAND4X1_RVT	_sel6	227.9360 971.3680	MX	placed					
cell_pin	U42174/A1	pin	{228.6410 970.2490} {228.8130 970.3590}					placed	M1 CO	n20285			cell=U42174
cell_pin	U42174/A2	pin	{228.4890 970.5530} {228.6610 970.6630}					placed	M1 CO	ZBUF_2140_3429			cell=U42174
cell_pin	U42174/A3	pin	{228.3370 970.2490} {228.5090 970.3590}					placed	M1 CO	n137926			cell=U42174
cell_pin	U42174/A4	pin	{228.1850 970.5530} {228.3570 970.6630}					placed	M1 CO	n139434			cell=U42174
cell_pin	U42174/Y	pin	{229.2790 969.8030} {229.6630 971.2530}					placed	M1 CO	n42568			cell=U42174
cell_pin	U42174/VDD	pin	{227.9360 969.6660} {229.7600 970.3600}					placed	M1 CO	VDD			cell=U42174
cell_pin	U42174/VSS	pin	{227.9360 970.8890} {229.7600 971.3980}					placed	M1 CO	VSS			cell=U42174
near_cell	U42139	cell	{234.8130 961.3060} {236.8670 963.1090}	NOR4X1_RVT	_sel18	234.9280 961.3360	R0	placed					target_cell=U42174
near_cell	U42167	cell	{237.0930 962.9070} {238.5390 964.7100}	NAND4X0_RVT	_sel19	237.2080 964.6800	MX	placed					target_cell=U42174
near_cell	U42226	cell	{222.5010 978.0260} {223.7940 979.8290}	NAND3X0_RVT	_sel20	222.6160 978.0560	R0	placed					target_cell=U42174
near_cell	U42227	cell	{224.7810 978.0260} {226.8350 979.8290}	NOR4X1_RVT	_sel21	224.8960 978.0560	R0	placed					target_cell=U42174
near_cell	U42239	cell	{227.2130 961.3060} {228.2030 963.1090}	INVX1_RVT	_sel22	227.3280 961.3360	R0	placed					target_cell=U42174
near_cell	U42250	cell	{218.5490 962.9070} {219.9950 964.7100}	NAND4X0_RVT	_sel23	218.6640 964.6800	MX	placed					target_cell=U42174
near_cell	U42341	cell	{230.2530 961.3060} {232.0030 963.1090}	AND4X1_RVT	_sel24	230.3680 961.3360	R0	placed					target_cell=U42174
near_cell	U42377	cell	{223.5650 978.0260} {225.0110 979.8290}	NAND4X0_RVT	_sel25	223.6800 978.0560	R0	placed					target_cell=U42174
near_cell	U42378	cell	{220.3730 961.3060} {222.1230 963.1090}	AND4X1_RVT	_sel26	220.4880 961.3360	R0	placed					target_cell=U42174
near_cell	U42393	cell	{233.4450 961.3060} {234.7380 963.1090}	NAND3X0_RVT	_sel27	233.5600 961.3360	R0	placed					target_cell=U42174
near_cell	U106522	cell	{231.1680 978.0260} {232.9150 979.8290}	NBUFFX4_RVT	_sel28	231.2800 978.0560	R0	placed					target_cell=U42174
near_cell	U113974	cell	{232.6880 978.0260} {234.4350 979.8290}	NBUFFX4_RVT	_sel29	232.8000 978.0560	R0	placed					target_cell=U42174
near_cell	U109038	cell	{236.0290 976.2830} {238.5390 978.0860}	NBUFFX8_RVT	_sel30	238.4240 978.0560	R180	placed					target_cell=U42174
near_cell	U107708	cell	{224.9330 961.3060} {227.4430 963.1090}	NBUFFX8_RVT	_sel31	225.0480 961.3360	R0	placed					target_cell=U42174
near_cell	U103243	cell	{237.7010 971.3380} {240.9710 973.1410}	DELLN1X2_RVT	_sel32	237.8160 971.3680	R0	placed					target_cell=U42174
near_cell	U106814	cell	{237.5490 972.9390} {238.9950 974.7420}	NBUFFX2_RVT	_sel33	237.6640 974.7120	MX	placed					target_cell=U42174
near_cell	U96133	cell	{228.1250 978.0260} {231.3950 979.8290}	DELLN1X2_RVT	_sel34	228.2400 978.0560	R0	placed					target_cell=U42174
near_cell	U108952	cell	{235.8770 967.9940} {239.1470 969.7970}	DELLN1X2_RVT	_sel35	239.0320 968.0240	MY	placed					target_cell=U42174
near_cell	U32879	cell	{220.8290 978.0260} {222.7310 979.8290}	NAND2X2_RVT	_sel36	220.9440 978.0560	R0	placed					target_cell=U42174
near_cell	U124909	cell	{234.2050 978.0260} {235.4980 979.8290}	NAND3X0_RVT	_sel37	234.3200 978.0560	R0	placed					target_cell=U42174
near_cell	U103306	cell	{219.3090 976.2830} {222.5790 978.0860}	DELLN1X2_RVT	_sel38	219.4240 978.0560	MX	placed					target_cell=U42174
near_cell	U115096	cell	{236.7890 974.6820} {238.2350 976.4850}	NBUFFX2_RVT	_sel39	236.9040 974.7120	R0	placed					target_cell=U42174
near_cell	U128536	cell	{227.9730 961.3060} {229.4190 963.1090}	NBUFFX2_RVT	_sel40	228.0880 961.3360	R0	placed					target_cell=U42174
near_cell	ZBUF_1056_inst_12368	cell	{226.6080 978.0260} {228.3550 979.8290}	NBUFFX4_RVT	_sel41	226.7200 978.0560	R0	placed					target_cell=U42174
near_cell	ZBUF_2198_inst_15160	cell	{219.0080 974.6820} {220.7550 976.4850}	NBUFFX4_RVT	_sel42	219.1200 974.7120	R0	placed					target_cell=U42174
near_cell	ZBUF_1448_inst_17335	cell	{219.3090 966.2510} {223.1870 968.0540}	NBUFFX16_RVT	_sel43	223.0720 968.0240	R180	placed					target_cell=U42174
near_cell	ZBUF_51_inst_19103	cell	{235.2690 978.0260} {238.5390 979.8290}	DELLN1X2_RVT	_sel44	235.3840 978.0560	R0	placed					target_cell=U42174
near_cell	ZBUF_388_inst_19227	cell	{217.3330 961.3060} {220.6030 963.1090}	DELLN1X2_RVT	_sel45	217.4480 961.3360	R0	placed					target_cell=U42174
near_cell	ZBUF_2583_inst_19380	cell	{236.6370 961.3060} {239.1470 963.1090}	NBUFFX8_RVT	_sel46	236.7520 961.3360	R0	placed					target_cell=U42174
near_cell	ZBUF_803_inst_19479	cell	{221.8930 961.3060} {225.1630 963.1090}	DELLN1X2_RVT	_sel47	222.0080 961.3360	R0	placed					target_cell=U42174
near_cell	ZBUF_726_inst_19571	cell	{236.9440 964.6500} {238.6910 966.4530}	NBUFFX4_RVT	_sel48	237.0560 964.6800	R0	placed					target_cell=U42174
near_cell	ZBUF_248_inst_19573	cell	{237.3970 969.5950} {240.6670 971.3980}	DELLN1X2_RVT	_sel49	237.5120 971.3680	MX	placed					target_cell=U42174
near_cell	ZBUF_998_inst_28685	cell	{217.3330 972.9390} {220.6030 974.7420}	DELLN1X2_RVT	_sel50	217.4480 974.7120	MX	placed					target_cell=U42174
near_cell	ZBUF_2571_inst_29619	cell	{217.7890 971.3380} {221.0590 973.1410}	DELLN1X2_RVT	_sel51	217.9040 971.3680	R0	placed					target_cell=U42174
near_cell	ZBUF_5_inst_29656	cell	{217.7890 978.0260} {221.0590 979.8290}	DELLN1X2_RVT	_sel52	217.9040 978.0560	R0	placed					target_cell=U42174
near_cell	ZBUF_1455_inst_30554	cell	{237.0930 966.2510} {239.6030 968.0540}	NBUFFX8_RVT	_sel53	237.2080 968.0240	MX	placed					target_cell=U42174
near_pin	U42139/Y	pin	{236.4230 961.4640} {236.6550 962.8670}					placed	M1 CO	n42536			target_cell=U42174
near_pin	U42139/VSS	pin	{234.9280 961.3060} {236.7520 961.7320}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U42167/A2	pin	{237.7610 963.8650} {237.9330 963.9750}					placed	M1 CO	ZBUF_32_2774			target_cell=U42174
near_pin	U42167/Y	pin	{237.4870 963.1290} {238.1850 964.5590}					placed	M1 CO	n42309			target_cell=U42174
near_pin	U42167/VDD	pin	{237.2080 962.9780} {238.4240 963.4870}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U42167/VSS	pin	{237.2080 964.1090} {238.4240 964.7100}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U42226/Y	pin	{223.0470 978.1620} {223.5830 979.6070}					placed	M1 CO	n42332			target_cell=U42174
near_pin	U42226/VDD	pin	{222.6160 979.2490} {223.6800 979.7580}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U42227/Y	pin	{226.3910 978.1840} {226.6230 979.5870}					placed	M1 CO	n42334			target_cell=U42174
near_pin	U42227/VDD	pin	{224.8960 978.9660} {226.7200 979.7580}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U42239/Y	pin	{227.6070 961.4520} {227.9910 962.9000}					placed	M1 CO	n42351			target_cell=U42174
near_pin	U42239/VSS	pin	{227.3280 961.3060} {228.0880 961.7460}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U42250/VDD	pin	{218.6640 962.9780} {219.8800 963.4870}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U42250/VSS	pin	{218.6640 964.1090} {219.8800 964.7100}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U42341/Y	pin	{231.5590 961.4530} {231.7910 962.8930}					placed	M1 CO	n42447			target_cell=U42174
near_pin	U42341/VSS	pin	{230.3680 961.3060} {231.8880 961.8240}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U42377/Y	pin	{223.9590 978.1770} {224.6570 979.6070}					placed	M1 CO	n42501			target_cell=U42174
near_pin	U42377/VDD	pin	{223.6800 979.2490} {224.8960 979.7580}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U42378/Y	pin	{221.6790 961.4530} {221.9110 962.8930}					placed	M1 CO	n42497			target_cell=U42174
near_pin	U42378/VSS	pin	{220.4880 961.3060} {222.0080 961.8240}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U42393/Y	pin	{233.9910 961.4420} {234.5270 962.8870}					placed	M1 CO	n42518			target_cell=U42174
near_pin	U42393/VSS	pin	{233.5600 961.3060} {234.6240 961.8150}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U106522/Y	pin	{231.8630 978.1720} {232.7030 979.6200}					placed	M1 CO	n137889			target_cell=U42174
near_pin	U106522/VDD	pin	{231.2800 979.0430} {232.8000 979.7580}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U113974/Y	pin	{233.3830 978.1720} {234.2230 979.6200}					placed	M1 CO	n139172			target_cell=U42174
near_pin	U113974/VDD	pin	{232.8000 979.0430} {234.3200 979.7580}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U109038/A	pin	{237.8360 977.2410} {238.1750 977.3960}					placed	M1 CO	eco_net_465_n138400			target_cell=U42174
near_pin	U109038/VDD	pin	{236.1440 976.3540} {238.4240 977.0640}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U109038/VSS	pin	{236.1440 977.6460} {238.4240 978.0860}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U107708/Y	pin	{225.7830 961.4520} {227.2310 962.9010}					placed	M1 CO	n138055			target_cell=U42174
near_pin	U107708/VSS	pin	{225.0480 961.3060} {227.3280 961.7460}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U103243/VDD	pin	{237.8160 971.9370} {240.8560 973.0700}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U103243/VSS	pin	{237.8160 971.3380} {240.8560 972.5580}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U106814/VDD	pin	{237.6640 973.0100} {238.8800 973.8020}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U106814/VSS	pin	{237.6640 974.1450} {238.8800 974.7420}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U96133/Y	pin	{230.6470 978.1870} {231.1830 979.6050}					placed	M1 CO	n136448			target_cell=U42174
near_pin	U96133/VDD	pin	{228.2400 978.6250} {231.2800 979.7580}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U108952/VDD	pin	{235.9920 968.5930} {239.0320 969.7260}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U108952/VSS	pin	{235.9920 967.9940} {239.0320 969.2140}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U32879/Y	pin	{222.1350 978.1700} {222.5190 979.6120}					placed	M1 CO	n33957			target_cell=U42174
near_pin	U32879/VDD	pin	{220.9440 978.8710} {222.6160 979.7580}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U124909/Y	pin	{234.7510 978.1620} {235.2870 979.6070}					placed	M1 CO	n143623			target_cell=U42174
near_pin	U124909/VDD	pin	{234.3200 979.2490} {235.3840 979.7580}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U103306/A	pin	{219.5210 977.2410} {219.8450 977.3810}					placed	M1 CO	ZBUF_13_3433			target_cell=U42174
near_pin	U103306/VDD	pin	{219.4240 976.3540} {222.4640 977.4870}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U103306/VSS	pin	{219.4240 976.8660} {222.4640 978.0860}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U115096/Y	pin	{237.4870 974.8280} {238.0230 976.2760}					placed	M1 CO	n139294			target_cell=U42174
near_pin	U115096/VDD	pin	{236.9040 975.6220} {238.1200 976.4140}					placed	M1 CO	VDD			target_cell=U42174
near_pin	U115096/VSS	pin	{236.9040 974.6820} {238.1200 975.2790}					placed	M1 CO	VSS			target_cell=U42174
near_pin	U128536/Y	pin	{228.6710 961.4520} {229.2070 962.9000}					placed	M1 CO	n149655			target_cell=U42174
near_pin	U128536/VSS	pin	{228.0880 961.3060} {229.3040 961.9030}					placed	M1 CO	VSS			target_cell=U42174
near_pin	ZBUF_1056_inst_12368/Y	pin	{227.3030 978.1720} {228.1430 979.6200}					placed	M1 CO	ZBUF_1056_2027			target_cell=U42174
near_pin	ZBUF_1056_inst_12368/VDD	pin	{226.7200 979.0430} {228.2400 979.7580}					placed	M1 CO	VDD			target_cell=U42174
near_pin	ZBUF_2198_inst_15160/Y	pin	{219.7030 974.8280} {220.5430 976.2760}					placed	M1 CO	ZBUF_2198_2530			target_cell=U42174
near_pin	ZBUF_2198_inst_15160/VDD	pin	{219.1200 975.6990} {220.6400 976.4140}					placed	M1 CO	VDD			target_cell=U42174
near_pin	ZBUF_2198_inst_15160/VSS	pin	{219.1200 974.6820} {220.6400 975.1220}					placed	M1 CO	VSS			target_cell=U42174
near_pin	ZBUF_1448_inst_17335/Y	pin	{219.5210 966.4590} {222.1850 967.9080}					placed	M1 CO	ZBUF_1448_2753			target_cell=U42174
near_pin	ZBUF_1448_inst_17335/VDD	pin	{219.4240 966.3220} {223.0720 967.0320}					placed	M1 CO	VDD			target_cell=U42174
near_pin	ZBUF_1448_inst_17335/VSS	pin	{219.4240 967.6140} {223.0720 968.0540}					placed	M1 CO	VSS			target_cell=U42174
near_pin	ZBUF_51_inst_19103/Y	pin	{237.7910 978.1870} {238.3270 979.6050}					placed	M1 CO	ZBUF_51_2917			target_cell=U42174
near_pin	ZBUF_51_inst_19103/VDD	pin	{235.3840 978.6250} {238.4240 979.7580}					placed	M1 CO	VDD			target_cell=U42174
near_pin	ZBUF_51_inst_19103/VSS	pin	{235.3840 978.0260} {238.4240 979.2460}					placed	M1 CO	VSS			target_cell=U42174
near_pin	ZBUF_388_inst_19227/Y	pin	{219.8550 961.4670} {220.3910 962.8850}					placed	M1 CO	ZBUF_388_2922			target_cell=U42174
near_pin	ZBUF_388_inst_19227/VDD	pin	{217.4480 961.9050} {220.4880 963.0380}					placed	M1 CO	VDD			target_cell=U42174
near_pin	ZBUF_388_inst_19227/VSS	pin	{217.4480 961.3060} {220.4880 962.5260}					placed	M1 CO	VSS			target_cell=U42174
near_pin	ZBUF_2583_inst_19380/Y	pin	{237.4870 961.4520} {238.9350 962.9010}					placed	M1 CO	ZBUF_2583_2925			target_cell=U42174
near_pin	ZBUF_2583_inst_19380/VDD	pin	{236.7520 962.3280} {239.0320 963.0380}					placed	M1 CO	VDD			target_cell=U42174
near_pin	ZBUF_2583_inst_19380/VSS	pin	{236.7520 961.3060} {239.0320 961.7460}					placed	M1 CO	VSS			target_cell=U42174
near_pin	ZBUF_803_inst_19479/Y	pin	{224.4150 961.4670} {224.9510 962.8850}					placed	M1 CO	ZBUF_803_2927			target_cell=U42174
near_pin	ZBUF_803_inst_19479/VSS	pin	{222.0080 961.3060} {225.0480 962.5260}					placed	M1 CO	VSS			target_cell=U42174
near_pin	ZBUF_726_inst_19571/Y	pin	{237.6390 964.7960} {238.4790 966.2440}					placed	M1 CO	ZBUF_726_2931			target_cell=U42174
near_pin	ZBUF_726_inst_19571/VDD	pin	{237.0560 965.6670} {238.5760 966.3820}					placed	M1 CO	VDD			target_cell=U42174
near_pin	ZBUF_726_inst_19571/VSS	pin	{237.0560 964.6500} {238.5760 965.0900}					placed	M1 CO	VSS			target_cell=U42174
near_pin	ZBUF_248_inst_19573/A	pin	{237.6090 970.5530} {237.9330 970.6930}					placed	M1 CO	n138360			target_cell=U42174
near_pin	ZBUF_248_inst_19573/VDD	pin	{237.5120 969.6660} {240.5520 970.7990}					placed	M1 CO	VDD			target_cell=U42174
near_pin	ZBUF_248_inst_19573/VSS	pin	{237.5120 970.1780} {240.5520 971.3980}					placed	M1 CO	VSS			target_cell=U42174
