label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
cell	act_ram_reg[1020][0]	cell	{359.1490 446.3300} {363.6350 448.1330}	DFFARX1_RVT	_sel6	363.5200 446.3600	MY	placed					
cell_pin	act_ram_reg[1020][0]/D	pin	{363.0990 446.9130} {363.2710 447.0900}					placed	M1 CO	n19545			cell=act_ram_reg[1020][0]
cell_pin	act_ram_reg[1020][0]/CLK	pin	{362.7950 447.7840} {362.9670 447.9360}					placed	M1 CO	ZCTSNET_77			cell=act_ram_reg[1020][0]
cell_pin	act_ram_reg[1020][0]/RSTB	pin	{360.6670 446.4540} {361.7970 446.5830}					placed	M1 CO	ZBUF_766_3067			cell=act_ram_reg[1020][0]
cell_pin	act_ram_reg[1020][0]/Q	pin	{359.5130 446.5080} {359.8970 447.9060}					placed	M1 CO	act_ram[1020][0]			cell=act_ram_reg[1020][0]
cell_pin	act_ram_reg[1020][0]/QN	pin	{359.3600 446.5140} {359.6090 447.9060}					placed	M1 CO				cell=act_ram_reg[1020][0]
cell_pin	act_ram_reg[1020][0]/VDD	pin	{359.2640 447.3070} {363.5200 448.0620}					placed	M1 CO	VDD			cell=act_ram_reg[1020][0]
cell_pin	act_ram_reg[1020][0]/VSS	pin	{359.2640 446.3300} {363.5200 446.8210}					placed	M1 CO	VSS			cell=act_ram_reg[1020][0]
near_cell	act_ram_reg[944][15]	cell	{364.0130 446.3300} {368.4990 448.1330}	DFFARX1_RVT	_sel17	364.1280 446.3600	R0	placed					target_cell=act_ram_reg[1020][0]
near_cell	U138786	cell	{357.6290 446.3300} {359.3790 448.1330}	AO22X1_RVT	_sel18	357.7440 446.3600	R0	placed					target_cell=act_ram_reg[1020][0]
near_cell	U138795	cell	{363.5570 444.5870} {365.3070 446.3900}	AO22X1_RVT	_sel19	363.6720 446.3600	MX	placed					target_cell=act_ram_reg[1020][0]
near_cell	act_ram_reg[1020][4]	cell	{355.1970 444.5870} {359.9870 446.3900}	DFFARX2_RVT	_sel20	359.8720 446.3600	R180	placed					target_cell=act_ram_reg[1020][0]
near_pin	act_ram_reg[944][15]/D	pin	{364.3770 446.9130} {364.5490 447.0900}					placed	M1 CO	n18328			target_cell=act_ram_reg[1020][0]
near_pin	act_ram_reg[944][15]/VDD	pin	{364.1280 447.3070} {368.3840 448.0620}					placed	M1 CO	VDD			target_cell=act_ram_reg[1020][0]
near_pin	act_ram_reg[944][15]/VSS	pin	{364.1280 446.3300} {368.3840 446.8210}					placed	M1 CO	VSS			target_cell=act_ram_reg[1020][0]
near_pin	U138786/A4	pin	{358.2970 446.9130} {358.4520 447.0230}					placed	M1 CO	act_ram[1020][12]			target_cell=act_ram_reg[1020][0]
near_pin	U138786/VDD	pin	{357.7440 447.2000} {359.2640 448.0620}					placed	M1 CO	VDD			target_cell=act_ram_reg[1020][0]
near_pin	U138786/VSS	pin	{357.7440 446.3300} {359.2640 446.8630}					placed	M1 CO	VSS			target_cell=act_ram_reg[1020][0]
near_pin	U138795/A3	pin	{364.3770 446.1530} {364.5350 446.2630}					placed	M1 CO	ZBUF_466_2881			target_cell=act_ram_reg[1020][0]
