label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
cell	u_input_fifo/fifo_buf_reg[257][6]	cell	{823.0530 270.6990} {827.5390 272.5020}	DFFARX1_RVT	_sel6	823.1680 272.4720	MX	placed					
cell_pin	u_input_fifo/fifo_buf_reg[257][6]/D	pin	{823.4170 271.7420} {823.5890 271.9190}					placed	M1 CO	eco_net_7764_u_input_fifo/n14442			cell=u_input_fifo/fifo_buf_reg[257][6]
cell_pin	u_input_fifo/fifo_buf_reg[257][6]/CLK	pin	{823.7210 270.8960} {823.8930 271.0480}					placed	M1 CO	ZCTSNET_520			cell=u_input_fifo/fifo_buf_reg[257][6]
cell_pin	u_input_fifo/fifo_buf_reg[257][6]/RSTB	pin	{824.8910 272.2490} {826.0210 272.3780}					placed	M1 CO	ZBUF_753_1116			cell=u_input_fifo/fifo_buf_reg[257][6]
cell_pin	u_input_fifo/fifo_buf_reg[257][6]/Q	pin	{826.7910 270.9260} {827.1750 272.3240}					placed	M1 CO	u_input_fifo/fifo_buf[257][6]			cell=u_input_fifo/fifo_buf_reg[257][6]
cell_pin	u_input_fifo/fifo_buf_reg[257][6]/QN	pin	{827.0790 270.9260} {827.3280 272.3180}					placed	M1 CO				cell=u_input_fifo/fifo_buf_reg[257][6]
cell_pin	u_input_fifo/fifo_buf_reg[257][6]/VDD	pin	{823.1680 270.7700} {827.4240 271.5250}					placed	M1 CO	VDD			cell=u_input_fifo/fifo_buf_reg[257][6]
cell_pin	u_input_fifo/fifo_buf_reg[257][6]/VSS	pin	{823.1680 272.0110} {827.4240 272.5020}					placed	M1 CO	VSS			cell=u_input_fifo/fifo_buf_reg[257][6]
near_cell	u_input_fifo/fifo_buf_reg[321][11]	cell	{817.2770 270.6990} {821.7630 272.5020}	DFFARX1_RVT	_sel17	817.3920 272.4720	MX	placed					target_cell=u_input_fifo/fifo_buf_reg[257][6]
near_cell	u_input_fifo/fifo_buf_reg[321][12]	cell	{817.7330 267.3550} {822.2190 269.1580}	DFFARX1_RVT	_sel18	817.8480 269.1280	MX	placed					target_cell=u_input_fifo/fifo_buf_reg[257][6]
near_cell	u_input_fifo/fifo_buf_reg[257][8]	cell	{827.7650 269.0980} {832.2510 270.9010}	DFFARX1_RVT	_sel19	827.8800 269.1280	R0	placed					target_cell=u_input_fifo/fifo_buf_reg[257][6]
