label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
cell	U77942	cell	{249.6890 854.2980} {251.7640 856.1150}	OA221X1_RVT	_sel6	249.8240 854.3280	R0	placed					
cell_pin	U77942/A1	pin	{250.0730 855.0290} {250.2450 855.1450}					placed	M1 CO	ropt_net_2303			cell=U77942
cell_pin	U77942/A2	pin	{250.2250 855.7880} {250.3970 855.9050}					placed	M1 CO	ZBUF_228_1096			cell=U77942
cell_pin	U77942/A3	pin	{250.6350 855.1700} {250.7920 855.4670}					placed	M1 CO	ropt_net_2303			cell=U77942
cell_pin	U77942/A4	pin	{250.3770 855.0410} {250.5330 855.3140}					placed	M1 CO	n134012			cell=U77942
cell_pin	U77942/A5	pin	{250.8330 854.8690} {250.9890 855.1360}					placed	M1 CO	ZBUF_197_3009			cell=U77942
cell_pin	U77942/Y	pin	{251.3190 854.5160} {251.5830 855.7540}					placed	M1 CO	n78423			cell=U77942
cell_pin	U77942/VDD	pin	{249.8240 855.2860} {251.6480 856.0300}					placed	M1 CO	VDD			cell=U77942
cell_pin	U77942/VSS	pin	{249.8240 854.2980} {251.6480 854.8400}					placed	M1 CO	VSS			cell=U77942
near_cell	U82199	cell	{251.6850 855.8990} {253.8910 857.7020}	AO222X1_RVT	_sel19	251.8000 857.6720	MX	placed					target_cell=U77942
near_cell	U82257	cell	{249.1010 857.6420} {250.8510 859.4450}	AO22X1_RVT	_sel20	249.2160 857.6720	R0	placed					target_cell=U77942
near_cell	U77795	cell	{248.4730 850.9540} {250.3960 852.7710}	OA22X2_RVT	_sel21	248.6080 850.9840	R0	placed					target_cell=U77942
near_cell	U62228	cell	{250.6240 857.6420} {252.3710 859.4450}	NBUFFX4_RVT	_sel22	250.7360 857.6720	R0	placed					target_cell=U77942
near_cell	U34950	cell	{251.0770 850.9540} {252.5130 852.7570}	AND2X1_RVT	_sel23	251.1920 850.9840	R0	placed					target_cell=U77942
near_cell	U22081	cell	{250.1650 850.9540} {251.3070 852.7570}	NAND2X0_RVT	_sel24	250.2800 850.9840	R0	placed					target_cell=U77942
near_cell	U26266	cell	{247.2770 850.9540} {248.7130 852.7570}	AND2X1_RVT	_sel25	247.3920 850.9840	R0	placed					target_cell=U77942
near_cell	ZBUF_5_inst_9312	cell	{245.3010 855.8990} {248.5710 857.7020}	DELLN1X2_RVT	_sel26	245.4160 857.6720	MX	placed					target_cell=U77942
