label	name	class	bbox	ref_name	lib_cell	origin	orientation	physical_status	layer	net	shape_use	via_def	extra
cell	U77942	cell	{249.5370 854.2980} {251.7640 856.1150}	OA221X2_RVT	_sel6	249.6720 854.3280	R0	placed					
cell_pin	U77942/A1	pin	{249.9210 855.0290} {250.0930 855.1450}					placed	M1 CO	n143522			cell=U77942
cell_pin	U77942/A2	pin	{250.0730 855.7880} {250.2450 855.9050}					placed	M1 CO	ZBUF_228_1096			cell=U77942
cell_pin	U77942/A3	pin	{250.4830 855.1700} {250.6400 855.4670}					placed	M1 CO	n143522			cell=U77942
cell_pin	U77942/A4	pin	{250.2250 855.0410} {250.3810 855.3140}					placed	M1 CO	n134012			cell=U77942
cell_pin	U77942/A5	pin	{250.6810 854.8690} {250.8370 855.1360}					placed	M1 CO	ZBUF_197_3009			cell=U77942
cell_pin	U77942/Y	pin	{251.0150 854.5160} {251.5830 855.7540}					placed	M1 CO	n78423			cell=U77942
cell_pin	U77942/VDD	pin	{249.6720 855.2860} {251.6480 856.0300}					placed	M1 CO	VDD			cell=U77942
cell_pin	U77942/VSS	pin	{249.6720 854.2980} {251.6480 854.8400}					placed	M1 CO	VSS			cell=U77942
near_cell	U82224	cell	{248.6450 855.8990} {249.7870 857.7020}	NAND2X0_RVT	_sel19	248.7600 857.6720	MX	placed					target_cell=U77942
near_cell	U82256	cell	{251.0770 855.8990} {252.2190 857.7020}	NAND2X0_RVT	_sel20	251.1920 857.6720	MX	placed					target_cell=U77942
near_cell	U48215	cell	{247.2770 854.2980} {249.7870 856.1010}	NBUFFX8_RVT	_sel21	247.3920 854.3280	R0	placed					target_cell=U77942
near_cell	ZBUF_5_inst_9312	cell	{245.6050 855.8990} {248.8750 857.7020}	DELLN1X2_RVT	_sel22	245.7200 857.6720	MX	placed					target_cell=U77942
near_cell	ZBUF_5_inst_23234	cell	{247.7330 852.5550} {251.0030 854.3580}	DELLN1X2_RVT	_sel23	247.8480 854.3280	MX	placed					target_cell=U77942
near_cell	ZBUF_164_inst_29498	cell	{250.7760 852.5550} {252.5230 854.3580}	NBUFFX4_RVT	_sel24	250.8880 854.3280	MX	placed					target_cell=U77942
near_cell	ZBUF_199_inst_29499	cell	{252.2960 852.5550} {254.0430 854.3580}	NBUFFX4_RVT	_sel25	252.4080 854.3280	MX	placed					target_cell=U77942
near_pin	U82224/A2	pin	{249.0140 856.8570} {249.1860 856.9670}					placed	M1 CO	n132866			target_cell=U77942
near_pin	U82224/Y	pin	{249.0390 856.1210} {249.4330 857.5660}					placed	M1 CO	n82839			target_cell=U77942
near_pin	U82256/A2	pin	{251.4460 856.8570} {251.6180 856.9670}					placed	M1 CO	ZBUF_852_3231			target_cell=U77942
near_pin	U82256/Y	pin	{251.4710 856.1210} {251.8650 857.5660}					placed	M1 CO	n82890			target_cell=U77942
near_pin	U48215/Y	pin	{248.1270 854.4440} {249.5750 855.8930}					placed	M1 CO	n131474			target_cell=U77942
near_pin	U48215/VDD	pin	{247.3920 855.3200} {249.6720 856.0300}					placed	M1 CO	VDD			target_cell=U77942
near_pin	U48215/VSS	pin	{247.3920 854.2980} {249.6720 854.7380}					placed	M1 CO	VSS			target_cell=U77942
near_pin	ZBUF_5_inst_9312/VDD	pin	{245.7200 855.9700} {248.7600 857.1030}					placed	M1 CO	VDD			target_cell=U77942
near_pin	ZBUF_5_inst_23234/Y	pin	{250.2550 852.7790} {250.7910 854.1970}					placed	M1 CO	ZBUF_5_3118			target_cell=U77942
near_pin	ZBUF_5_inst_23234/VDD	pin	{247.8480 852.6260} {250.8880 853.7590}					placed	M1 CO	VDD			target_cell=U77942
near_pin	ZBUF_5_inst_23234/VSS	pin	{247.8480 853.1380} {250.8880 854.3580}					placed	M1 CO	VSS			target_cell=U77942
near_pin	ZBUF_164_inst_29498/Y	pin	{251.4710 852.7640} {252.3110 854.2120}					placed	M1 CO	ZBUF_164_3428			target_cell=U77942
near_pin	ZBUF_199_inst_29499/VSS	pin	{252.4080 853.9180} {253.9280 854.3580}					placed	M1 CO	VSS			target_cell=U77942
near_shape	PATH_11_499	shape	{20.0000 854.2980} {1189.3360 854.3580}					unrestricted	M1	VSS	lib_cell_pin_connect		target_cell=U77942
near_shape	PATH_11_500	shape	{20.0000 855.9700} {1189.3360 856.0300}					unrestricted	M1	VDD	lib_cell_pin_connect		target_cell=U77942
near_shape	PATH_25_1059	shape	{252.2280 784.8360} {252.2840 868.7960}					unrestricted	M8	ZBUF_83_3281	detail_route		target_cell=U77942
near_shape	PATH_23_2390	shape	{246.1480 856.5800} {252.8920 856.6360}					unrestricted	M7	n136399	detail_route		target_cell=U77942
