step	status	path	message
copy_block	PASS	route_pg_ladder_hold_eco_repair1_hold2_clean_occ1_electrical_eco_open1_route_repair2_electrical_eco_open2	_sel2
check_routes_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/check_routes.before_electrical_eco.rpt	
check_legality_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/check_legality.before_electrical_eco.rpt	
qor_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/qor.before_electrical_eco.rpt	
global_timing_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/global_timing.before_electrical_eco.rpt	
constraints_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/constraints.before_electrical_eco.rpt	
constraint_max_transition_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/constraint.max_transition.before_electrical_eco.rpt	
constraint_max_capacitance_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/constraint.max_capacitance.before_electrical_eco.rpt	
set_pt_options	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/2_Output/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/pt_work	
pt_options	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/pt_options.rpt	
set_extract_starrc_mode	PASS		extract.starrc_mode false
eco_opt_electrical	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/2_Output/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/pt_eco_session	
check_routes_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/check_routes.after_electrical_eco.rpt	
check_legality_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/check_legality.after_electrical_eco.rpt	
pg_connectivity_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/pg_connectivity.after_electrical_eco.rpt	
pg_drc_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/pg_drc.after_electrical_eco.rpt	
qor_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/qor.after_electrical_eco.rpt	
global_timing_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/global_timing.after_electrical_eco.rpt	
constraints_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/constraints.after_electrical_eco.rpt	
constraint_hold_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_electrical_eco_open_site2_from_repair2/constraint.hold.after_electrical_eco.rpt	
