step	status	path	message
copy_block	PASS	route_pg_ladder_hold_eco_repair1_hold2_clean_occ1_electrical_eco_open1_route_repair2_electrical_eco_open2_route_repair1_hold_m0	_sel2
check_routes_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/check_routes.before_hold_eco.rpt	
check_legality_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/check_legality.before_hold_eco.rpt	
qor_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/qor.before_hold_eco.rpt	
global_timing_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/global_timing.before_hold_eco.rpt	
constraints_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/constraints.before_hold_eco.rpt	
timing_min_before	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/timing.min.before_hold_eco.rpt	
set_pt_options	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/2_Output/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/pt_work	
pt_options	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/pt_options.rpt	
set_extract_starrc_mode	PASS		extract.starrc_mode false
eco_opt_hold	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/2_Output/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/pt_eco_session	
check_routes_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/check_routes.after_hold_eco.rpt	
check_legality_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/check_legality.after_hold_eco.rpt	
pg_connectivity_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/pg_connectivity.after_hold_eco.rpt	
pg_drc_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/pg_drc.after_hold_eco.rpt	
qor_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/qor.after_hold_eco.rpt	
global_timing_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/global_timing.after_hold_eco.rpt	
constraints_after	PASS	/DATA/home/edu135/MNIST/4_Backend_ICC2/4_Report/trials/libdir_via1_no_track_trim_all_pin_util45_route_rerun3/07_extract_sta_hold_after_electrical_eco_open2_route_repair1_m0/constraints.after_hold_eco.rpt	
