id	type_name	error_class	layers	bbox	center	objects	shape	brief_info	verbose_info	status
0	Off-grid	basic	M2	{215.7470 208.0930} {215.8040 208.2040}	215.7755,208.1485	act_ram[471][6]	{ polygons {{215.7470 208.0930} {215.7470 208.2040} {215.8040 208.2040} {215.8040 208.0930}} } 			error
1	Off-grid	basic	M1	{320.4490 235.5060} {320.5590 235.5660}	320.5040,235.5360	ZBUF_816_2040	{ polygons {{320.4490 235.5060} {320.4490 235.5660} {320.5590 235.5660} {320.5590 235.5060}} } 			error
2	Off-grid	basic	M1	{821.1370 275.9050} {821.2470 275.9650}	821.1920,275.9350	ZBUF_624_2793	{ polygons {{821.1370 275.9050} {821.1370 275.9650} {821.2470 275.9650} {821.2470 275.9050}} } 			error
3	Off-grid	basic	M1	{825.3930 272.2900} {825.5030 272.3500}	825.4480,272.3200	ZBUF_753_1116	{ polygons {{825.3930 272.2900} {825.3930 272.3500} {825.5030 272.3500} {825.5030 272.2900}} } 			error
4	Off-grid	basic	M1	{920.2410 279.2820} {920.3510 279.3420}	920.2960,279.3120	ZBUF_749_2171	{ polygons {{920.2410 279.2820} {920.2410 279.3420} {920.3510 279.3420} {920.3510 279.2820}} } 			error
5	Off-grid	basic	M1	{920.2410 312.4180} {920.3510 312.4780}	920.2960,312.4480	ZBUF_831_2059	{ polygons {{920.2410 312.4180} {920.2410 312.4780} {920.3510 312.4780} {920.3510 312.4180}} } 			error
6	Off-grid	basic	M1	{593.4710 345.1030} {593.5610 345.2170}	593.5160,345.1600	n129964	{ polygons {{593.4710 345.1030} {593.4710 345.2170} {593.5610 345.2170} {593.5610 345.1030}} } 			error
7	Off-grid	basic	M1	{799.5830 380.2150} {799.6730 380.3450}	799.6280,380.2800	u_input_fifo/n10206	{ polygons {{799.5830 380.2150} {799.5830 380.3450} {799.6730 380.3450} {799.6730 380.2150}} } 			error
8	Off-grid	basic	M1	{398.7290 610.9460} {398.8390 611.0060}	398.7840,610.9760	n68835	{ polygons {{398.7290 610.9460} {398.7290 611.0060} {398.8390 611.0060} {398.8390 610.9460}} } 			error
9	Off-grid	basic	M1	{741.0330 687.2500} {741.1430 687.3100}	741.0880,687.2800	ZBUF_496_3009	{ polygons {{741.0330 687.2500} {741.0330 687.3100} {741.1430 687.3100} {741.1430 687.2500}} } 			error
10	Off-grid	basic	M1	{678.2570 848.3700} {678.3670 848.4300}	678.3120,848.4000	n66990	{ polygons {{678.2570 848.3700} {678.2570 848.4300} {678.3670 848.4300} {678.3670 848.3700}} } 			error
11	Off-grid	basic	M1	{65.4230 891.6630} {65.5470 891.7450}	65.4850,891.7040	n25241	{ polygons {{65.4230 891.6630} {65.4230 891.7450} {65.5470 891.7450} {65.5470 891.6630}} } 			error
12	Off-grid	basic	M1	{304.9240 987.2710} {305.0250 987.3530}	304.9745,987.3120	ZBUF_738_1078	{ polygons {{304.9240 987.2710} {304.9240 987.3530} {305.0250 987.3530} {305.0250 987.2710}} } 			error
14	Off-grid	basic	M1	{692.8490 1008.8820} {692.9590 1008.9420}	692.9040,1008.9120	n43585	{ polygons {{692.8490 1008.8820} {692.8490 1008.9420} {692.9590 1008.9420} {692.9590 1008.8820}} } 			error
15	Off-grid	basic	M1	{357.2630 1030.9270} {357.3870 1031.0090}	357.3250,1030.9680	n35366	{ polygons {{357.2630 1030.9270} {357.2630 1031.0090} {357.3870 1031.0090} {357.3870 1030.9270}} } 			error
16	Off-grid	basic	M1	{210.4310 1048.8310} {210.5550 1048.9130}	210.4930,1048.8720	n53235	{ polygons {{210.4310 1048.8310} {210.4310 1048.9130} {210.5550 1048.9130} {210.5550 1048.8310}} } 			error
17	Off-grid	basic	M1	{625.8170 1082.4500} {625.9270 1082.5100}	625.8720,1082.4800	n21538	{ polygons {{625.8170 1082.4500} {625.8170 1082.5100} {625.9270 1082.5100} {625.9270 1082.4500}} } 			error
